vol_min,trend_max,months,rows,BB_PERIOD,BB_K,equity_multiple,max_drawdown_pct,trades,win_rate_pct,avg_trade_ret_pct,buyhold_gated_multiple
0.006,0.3,10,29160,20,2.0,37.95644,45.45,549,60.11,5.0438,0.5834011682659761
0.006,0.3,10,29160,12,2.0,20.647009,70.71,762,56.96,3.5626,0.5834011682659761
0.006,0.3,10,29160,12,2.2,19.706568,62.59,567,54.5,4.7749,0.5834011682659761
0.006,0.3,10,29160,20,2.6,2.261129,30.56,291,60.14,0.4192,0.5834011682659761
0.006,0.3,10,29160,20,2.4,2.179671,47.78,369,59.35,0.3272,0.5834011682659761
0.006,0.3,10,29160,20,2.2,1.860378,52.34,459,59.04,0.2362,0.5834011682659761
0.006,0.3,10,29160,16,2.4,1.290214,35.36,397,57.93,0.159,0.5834011682659761
0.006,0.3,10,29160,16,2.6,1.078102,29.34,294,58.16,0.061,0.5834011682659761
0.006,0.3,10,29160,20,3.0,1.076439,23.86,123,58.54,0.0989,0.5834011682659761
0.006,0.3,10,29160,16,2.0,0.989798,58.81,632,58.7,0.0719,0.5834011682659761
0.006,0.3,10,29160,16,3.0,0.824175,27.14,92,53.26,-0.1614,0.5834011682659761
0.006,0.3,10,29160,16,2.2,0.81443,54.81,516,56.78,0.0456,0.5834011682659761
0.006,0.3,10,29160,12,3.0,0.758467,24.77,31,41.94,-0.8519,0.5834011682659761
0.006,0.3,10,29160,12,2.6,0.590751,49.71,212,46.7,-0.2148,0.5834011682659761
0.006,0.3,10,29160,12,2.4,0.526377,53.75,368,53.26,-0.1506,0.5834011682659761
0.006,0.25,8,23404,20,2.0,53.115793,33.14,444,59.68,6.2954,0.6273698124487426
0.006,0.25,8,23404,12,2.0,22.508079,59.59,602,55.65,4.5152,0.6273698124487426
0.006,0.25,8,23404,12,2.2,17.706794,56.59,451,52.33,5.9717,0.6273698124487426
0.006,0.25,8,23404,20,2.4,3.028657,31.17,301,60.13,0.4937,0.6273698124487426
0.006,0.25,8,23404,20,2.2,2.774341,36.24,375,60.0,0.379,0.6273698124487426
0.006,0.25,8,23404,20,2.6,2.67378,27.67,238,60.92,0.5665,0.6273698124487426
0.006,0.25,8,23404,16,2.4,1.285846,30.06,320,57.81,0.1863,0.6273698124487426
0.006,0.25,8,23404,20,3.0,1.285453,23.7,101,61.39,0.2828,0.6273698124487426
0.006,0.25,8,23404,16,2.0,1.19166,46.43,511,58.51,0.114,0.6273698124487426
0.006,0.25,8,23404,16,2.2,1.080693,36.36,414,57.0,0.114,0.6273698124487426
0.006,0.25,8,23404,16,2.6,0.999641,30.14,230,57.83,0.0333,0.6273698124487426
0.006,0.25,8,23404,16,3.0,0.915974,25.88,76,52.63,-0.0733,0.6273698124487426
0.006,0.25,8,23404,12,3.0,0.7518,25.34,23,39.13,-1.189,0.6273698124487426
0.006,0.25,8,23404,12,2.6,0.701627,43.13,171,47.37,-0.1731,0.6273698124487426
0.006,0.25,8,23404,12,2.4,0.535009,46.91,296,52.03,-0.1892,0.6273698124487426
0.006,0.2,5,14496,20,3.0,1.389716,12.44,73,63.01,0.48,0.8660111188407869
0.006,0.2,5,14496,20,2.4,1.330913,31.17,192,61.98,0.1803,0.8660111188407869
0.006,0.2,5,14496,20,2.6,1.288226,28.0,151,62.25,0.1982,0.8660111188407869
0.006,0.2,5,14496,20,2.0,1.224346,33.14,277,61.37,0.107,0.8660111188407869
0.006,0.2,5,14496,20,2.2,1.157445,36.24,232,61.64,0.1016,0.8660111188407869
0.006,0.2,5,14496,16,2.6,0.902536,28.4,150,56.67,-0.046,0.8660111188407869
0.006,0.2,5,14496,16,3.0,0.856384,21.02,46,45.65,-0.3079,0.8660111188407869
0.006,0.2,5,14496,12,3.0,0.831032,18.35,15,40.0,-1.1691,0.8660111188407869
0.006,0.2,5,14496,16,2.4,0.785266,31.05,201,58.21,-0.0764,0.8660111188407869
0.006,0.2,5,14496,16,2.2,0.765663,37.18,257,58.75,-0.066,0.8660111188407869
