source,equity_multiple,win_rate_pct,trades,wins,losses,stop_mult,ema_fast,ema_slow,base_k,ratio_max,cooldown,trail_TR,trail_RG,tp_TR,tp_RG,adx_thr,vol_x
regime_switch_v2_sweep_20250821_231902.csv,1.028442,54.05,37,20,17,1.0,20.0,100.0,1.6,1.6,1.0,2.0,1.5,3.0,1.5,22.0,0.85
regime_switch_v2_sweep_20250821_231902.csv,1.028442,54.05,37,20,17,1.0,20.0,100.0,1.6,1.6,1.0,2.0,1.5,4.0,1.5,22.0,0.85
regime_switch_v2_sweep_20250821_231902.csv,1.028442,54.05,37,20,17,1.0,20.0,100.0,1.6,1.6,1.0,2.5,1.5,3.0,1.5,22.0,0.85
regime_switch_v2_sweep_20250821_231902.csv,1.028442,54.05,37,20,17,1.0,20.0,100.0,1.6,1.6,1.0,2.5,1.5,4.0,1.5,22.0,0.85
regime_switch_v2_sweep_20250821_231902.csv,1.022746,54.05,37,20,17,1.0,20.0,100.0,1.6,1.4,1.0,2.0,1.5,3.0,1.5,22.0,0.85
regime_switch_v2_sweep_20250821_231902.csv,1.022746,54.05,37,20,17,1.0,20.0,100.0,1.6,1.4,1.0,2.0,1.5,4.0,1.5,22.0,0.85
regime_switch_v2_sweep_20250821_231902.csv,1.022746,54.05,37,20,17,1.0,20.0,100.0,1.6,1.4,1.0,2.5,1.5,3.0,1.5,22.0,0.85
regime_switch_v2_sweep_20250821_231902.csv,1.022746,54.05,37,20,17,1.0,20.0,100.0,1.6,1.4,1.0,2.5,1.5,4.0,1.5,22.0,0.85
regime_switch_v2_sweep_20250821_231902.csv,1.019865,54.05,37,20,17,1.5,20.0,100.0,1.6,1.6,1.0,2.0,1.5,3.0,1.5,22.0,0.85
regime_switch_v2_sweep_20250821_231902.csv,1.019865,54.05,37,20,17,1.5,20.0,100.0,1.6,1.6,1.0,2.0,1.5,4.0,1.5,22.0,0.85
regime_switch_v2_sweep_20250821_231902.csv,1.019865,54.05,37,20,17,1.5,20.0,100.0,1.6,1.6,1.0,2.5,1.5,3.0,1.5,22.0,0.85
regime_switch_v2_sweep_20250821_231902.csv,1.019865,54.05,37,20,17,1.5,20.0,100.0,1.6,1.6,1.0,2.5,1.5,4.0,1.5,22.0,0.85
regime_switch_v2_sweep_20250821_231902.csv,1.018112,53.12,32,17,15,1.0,50.0,200.0,1.6,1.6,1.0,2.0,1.5,3.0,1.5,22.0,0.85
regime_switch_v2_sweep_20250821_231902.csv,1.018112,53.12,32,17,15,1.0,50.0,200.0,1.6,1.6,1.0,2.0,1.5,4.0,1.5,22.0,0.85
regime_switch_v2_sweep_20250821_231902.csv,1.018112,53.12,32,17,15,1.0,50.0,200.0,1.6,1.6,1.0,2.5,1.5,3.0,1.5,22.0,0.85
