vol_buy_x,ema_fast,ema_slow,base_k,ratio_max,stop_mult,trail_mult,tp_mult,cooldown,trades,wins,losses,win_rate_pct,equity_multiple
0.85,20,200,1.8,1.4,0.8,2.0,3.0,1,39,12,27,30.769,0.860314
0.85,20,200,1.8,1.4,0.8,2.0,3.0,2,35,10,25,28.571,0.844889
0.85,20,200,1.8,1.4,0.8,2.0,4.0,1,39,12,27,30.769,0.860314
0.85,20,200,1.8,1.4,0.8,2.0,4.0,2,35,10,25,28.571,0.844889
0.85,20,200,1.8,1.4,0.8,2.5,3.0,1,38,12,26,31.579,0.850022
0.85,20,200,1.8,1.4,0.8,2.5,3.0,2,33,10,23,30.303,0.853641
0.85,20,200,1.8,1.4,0.8,2.5,4.0,1,38,12,26,31.579,0.850022
0.85,20,200,1.8,1.4,0.8,2.5,4.0,2,33,10,23,30.303,0.853641
0.85,20,200,1.8,1.4,1.0,2.0,3.0,1,38,12,26,31.579,0.847839
0.85,20,200,1.8,1.4,1.0,2.0,3.0,2,34,10,24,29.412,0.844691
0.85,20,200,1.8,1.4,1.0,2.0,4.0,1,38,12,26,31.579,0.847839
0.85,20,200,1.8,1.4,1.0,2.0,4.0,2,34,10,24,29.412,0.844691
0.85,20,200,1.8,1.4,1.0,2.5,3.0,1,37,12,25,32.432,0.837696
0.85,20,200,1.8,1.4,1.0,2.5,3.0,2,32,11,21,34.375,0.868068
0.85,20,200,1.8,1.4,1.0,2.5,4.0,1,37,12,25,32.432,0.837696
0.85,20,200,1.8,1.4,1.0,2.5,4.0,2,32,11,21,34.375,0.868068
0.85,20,200,1.8,1.6,0.8,2.0,3.0,1,38,12,26,31.579,0.867046
0.85,20,200,1.8,1.6,0.8,2.0,3.0,2,34,10,24,29.412,0.851501
0.85,20,200,1.8,1.6,0.8,2.0,4.0,1,38,12,26,31.579,0.867046
0.85,20,200,1.8,1.6,0.8,2.0,4.0,2,34,10,24,29.412,0.851501
0.85,20,200,1.8,1.6,0.8,2.5,3.0,1,37,12,25,32.432,0.85931
0.85,20,200,1.8,1.6,0.8,2.5,3.0,2,33,10,23,30.303,0.852871
0.85,20,200,1.8,1.6,0.8,2.5,4.0,1,37,12,25,32.432,0.85931
0.85,20,200,1.8,1.6,0.8,2.5,4.0,2,33,10,23,30.303,0.852871
0.85,20,200,1.8,1.6,1.0,2.0,3.0,1,37,12,25,32.432,0.854473
0.85,20,200,1.8,1.6,1.0,2.0,3.0,2,33,10,23,30.303,0.851301
0.85,20,200,1.8,1.6,1.0,2.0,4.0,1,37,12,25,32.432,0.854473
0.85,20,200,1.8,1.6,1.0,2.0,4.0,2,33,10,23,30.303,0.851301
0.85,20,200,1.8,1.6,1.0,2.5,3.0,1,36,12,24,33.333,0.84685
0.85,20,200,1.8,1.6,1.0,2.5,3.0,2,32,10,22,31.25,0.852671
0.85,20,200,1.8,1.6,1.0,2.5,4.0,1,36,12,24,33.333,0.84685
0.85,20,200,1.8,1.6,1.0,2.5,4.0,2,32,10,22,31.25,0.852671
0.85,20,200,2.0,1.4,0.8,2.0,3.0,1,31,14,17,45.161,0.926466
0.85,20,200,2.0,1.4,0.8,2.0,3.0,2,29,13,16,44.828,0.937043
0.85,20,200,2.0,1.4,0.8,2.0,4.0,1,31,14,17,45.161,0.928667
0.85,20,200,2.0,1.4,0.8,2.0,4.0,2,29,13,16,44.828,0.939269
0.85,20,200,2.0,1.4,0.8,2.5,3.0,1,30,12,18,40.0,0.924609
0.85,20,200,2.0,1.4,0.8,2.5,3.0,2,28,11,17,39.286,0.935165
0.85,20,200,2.0,1.4,0.8,2.5,4.0,1,30,12,18,40.0,0.926806
0.85,20,200,2.0,1.4,0.8,2.5,4.0,2,28,11,17,39.286,0.937387
0.85,20,200,2.0,1.4,1.0,2.0,3.0,1,31,14,17,45.161,0.921029
