vol_buy_x,ema_fast,ema_slow,base_k,ratio_max,stop_mult,trail_mult,tp_mult,cooldown,trades,wins,losses,win_rate_pct,equity_multiple
0.85,20,100,1.8,1.4,1.0,2.0,3.0,1,12,3,9,25.0,0.919514
0.85,20,100,1.8,1.4,1.0,2.0,3.0,2,10,2,8,20.0,0.910626
0.85,20,100,1.8,1.4,1.0,2.0,4.0,1,12,3,9,25.0,0.919514
0.85,20,100,1.8,1.4,1.0,2.0,4.0,2,10,2,8,20.0,0.910626
0.85,20,100,1.8,1.4,1.0,2.5,3.0,1,12,3,9,25.0,0.918232
0.85,20,100,1.8,1.4,1.0,2.5,3.0,2,10,2,8,20.0,0.909356
0.85,20,100,1.8,1.4,1.0,2.5,4.0,1,12,3,9,25.0,0.918232
0.85,20,100,1.8,1.4,1.0,2.5,4.0,2,10,2,8,20.0,0.909356
0.85,20,100,1.8,1.4,1.5,2.0,3.0,1,10,4,6,40.0,0.944069
0.85,20,100,1.8,1.4,1.5,2.0,3.0,2,9,4,5,44.444,0.955316
0.85,20,100,1.8,1.4,1.5,2.0,4.0,1,10,4,6,40.0,0.944069
0.85,20,100,1.8,1.4,1.5,2.0,4.0,2,9,4,5,44.444,0.955316
0.85,20,100,1.8,1.4,1.5,2.5,3.0,1,10,4,6,40.0,0.936467
0.85,20,100,1.8,1.4,1.5,2.5,3.0,2,9,4,5,44.444,0.950543
0.85,20,100,1.8,1.4,1.5,2.5,4.0,1,10,4,6,40.0,0.936467
0.85,20,100,1.8,1.4,1.5,2.5,4.0,2,9,4,5,44.444,0.950543
0.85,20,100,2.0,1.4,1.0,2.0,3.0,1,10,3,7,30.0,0.914541
0.85,20,100,2.0,1.4,1.0,2.0,3.0,2,9,3,6,33.333,0.930035
0.85,20,100,2.0,1.4,1.0,2.0,4.0,1,10,3,7,30.0,0.914541
0.85,20,100,2.0,1.4,1.0,2.0,4.0,2,9,3,6,33.333,0.930035
0.85,20,100,2.0,1.4,1.0,2.5,3.0,1,10,2,8,20.0,0.909972
0.85,20,100,2.0,1.4,1.0,2.5,3.0,2,9,2,7,22.222,0.925388
0.85,20,100,2.0,1.4,1.0,2.5,4.0,1,10,2,8,20.0,0.909972
0.85,20,100,2.0,1.4,1.0,2.5,4.0,2,9,2,7,22.222,0.925388
