entry_mode,vol_buy_x,ema_fast,ema_slow,base_k,ratio_max,atr_mult,tp_mult,cooldown,trades,wins,losses,win_rate_pct,equity_multiple
either,0.8,20,100,1.6,1.4,1.5,2.0,1,18,7,11,38.889,0.913285
either,0.8,20,100,1.6,1.4,1.5,2.0,2,18,7,11,38.889,0.906818
either,0.8,20,100,1.6,1.4,1.5,3.0,1,18,7,11,38.889,0.926089
either,0.8,20,100,1.6,1.4,1.5,3.0,2,18,7,11,38.889,0.910044
either,0.8,20,100,1.6,1.4,2.0,2.0,1,17,8,9,47.059,0.929611
either,0.8,20,100,1.6,1.4,2.0,2.0,2,16,7,9,43.75,0.908422
either,0.8,20,100,1.6,1.4,2.0,3.0,1,17,8,9,47.059,0.942644
either,0.8,20,100,1.6,1.4,2.0,3.0,2,16,7,9,43.75,0.911653
either,0.8,20,100,1.6,1.6,1.5,2.0,1,18,7,11,38.889,0.913285
either,0.8,20,100,1.6,1.6,1.5,2.0,2,17,7,10,41.176,0.929899
either,0.8,20,100,1.6,1.6,1.5,3.0,1,18,7,11,38.889,0.926089
either,0.8,20,100,1.6,1.6,1.5,3.0,2,17,7,10,41.176,0.933207
either,0.8,20,100,1.6,1.6,2.0,2.0,1,17,8,9,47.059,0.929611
either,0.8,20,100,1.6,1.6,2.0,2.0,2,15,7,8,46.667,0.929604
either,0.8,20,100,1.6,1.6,2.0,3.0,1,17,8,9,47.059,0.942644
either,0.8,20,100,1.6,1.6,2.0,3.0,2,15,7,8,46.667,0.932911
either,0.8,20,100,1.8,1.4,1.5,2.0,1,18,7,11,38.889,0.920885
either,0.8,20,100,1.8,1.4,1.5,2.0,2,17,7,10,41.176,0.939617
either,0.8,20,100,1.8,1.4,1.5,3.0,1,17,7,10,41.176,0.932353
either,0.8,20,100,1.8,1.4,1.5,3.0,2,16,7,9,43.75,0.951319
either,0.8,20,100,1.8,1.4,2.0,2.0,1,17,8,9,47.059,0.937346
either,0.8,20,100,1.8,1.4,2.0,2.0,2,15,7,8,46.667,0.939319
either,0.8,20,100,1.8,1.4,2.0,3.0,1,16,8,8,50.0,0.95127
either,0.8,20,100,1.8,1.4,2.0,3.0,2,15,7,8,46.667,0.952228
either,0.8,20,100,1.8,1.6,1.5,2.0,1,18,7,11,38.889,0.927485
either,0.8,20,100,1.8,1.6,1.5,2.0,2,17,7,10,41.176,0.946351
either,0.8,20,100,1.8,1.6,1.5,3.0,1,17,7,10,41.176,0.924355
either,0.8,20,100,1.8,1.6,1.5,3.0,2,16,7,9,43.75,0.943158
either,0.8,20,100,1.8,1.6,2.0,2.0,1,17,8,9,47.059,0.944064
either,0.8,20,100,1.8,1.6,2.0,2.0,2,15,7,8,46.667,0.946051
either,0.8,20,100,1.8,1.6,2.0,3.0,1,16,8,8,50.0,0.943109
either,0.8,20,100,1.8,1.6,2.0,3.0,2,15,7,8,46.667,0.944059
