VOL_BUY_X,VOL_SELL_X,RSI_BUY_LT,RSI_SELL_GT,CONFIRM_BUY_N,CONFIRM_SELL_N,TRAIL_ARM_PCT,TRAIL_DROP_PCT,trades,wins,losses,win_rate_pct,equity_multiple
0.9,1.25,35,60,1,2,0.03,0.008,11,9,2,81.818,0.935269
0.9,1.25,35,60,1,2,0.03,0.01,11,9,2,81.818,0.935269
0.9,1.25,40,60,1,2,0.03,0.008,11,9,2,81.818,0.935269
0.9,1.25,40,60,1,2,0.03,0.01,11,9,2,81.818,0.935269
0.9,1.3,35,60,1,2,0.03,0.008,11,9,2,81.818,0.935269
0.9,1.3,35,60,1,2,0.03,0.01,11,9,2,81.818,0.935269
0.9,1.3,40,60,1,2,0.03,0.008,11,9,2,81.818,0.935269
0.9,1.3,40,60,1,2,0.03,0.01,11,9,2,81.818,0.935269
0.9,1.25,35,60,1,2,0.02,0.008,12,10,2,83.333,0.930277
0.9,1.25,35,60,1,2,0.02,0.01,12,10,2,83.333,0.930277
0.9,1.25,40,60,1,2,0.02,0.008,12,10,2,83.333,0.930277
0.9,1.25,40,60,1,2,0.02,0.01,12,10,2,83.333,0.930277
0.9,1.3,35,60,1,2,0.02,0.008,12,10,2,83.333,0.930277
0.9,1.3,35,60,1,2,0.02,0.01,12,10,2,83.333,0.930277
0.9,1.3,40,60,1,2,0.02,0.008,12,10,2,83.333,0.930277
0.9,1.3,40,60,1,2,0.02,0.01,12,10,2,83.333,0.930277
0.85,1.25,35,60,1,2,0.03,0.008,11,9,2,81.818,0.930072
0.85,1.25,35,60,1,2,0.03,0.01,11,9,2,81.818,0.930072
0.85,1.25,40,60,1,2,0.03,0.008,11,9,2,81.818,0.930072
0.85,1.25,40,60,1,2,0.03,0.01,11,9,2,81.818,0.930072
0.85,1.3,35,60,1,2,0.03,0.008,11,9,2,81.818,0.930072
0.85,1.3,35,60,1,2,0.03,0.01,11,9,2,81.818,0.930072
0.85,1.3,40,60,1,2,0.03,0.008,11,9,2,81.818,0.930072
0.85,1.3,40,60,1,2,0.03,0.01,11,9,2,81.818,0.930072
0.85,1.25,40,60,2,2,0.03,0.008,7,5,2,71.429,0.929645
0.85,1.25,40,60,2,2,0.03,0.01,7,5,2,71.429,0.929645
0.85,1.3,40,60,2,2,0.03,0.008,7,5,2,71.429,0.929645
0.85,1.3,40,60,2,2,0.03,0.01,7,5,2,71.429,0.929645
0.85,1.25,40,60,2,1,0.03,0.008,11,6,5,54.545,0.92953
0.85,1.25,40,60,2,1,0.03,0.01,11,6,5,54.545,0.92953
0.85,1.25,40,65,2,1,0.03,0.008,11,6,5,54.545,0.92953
0.85,1.25,40,65,2,1,0.03,0.01,11,6,5,54.545,0.92953
0.85,1.3,40,60,2,1,0.03,0.008,11,6,5,54.545,0.92953
0.85,1.3,40,60,2,1,0.03,0.01,11,6,5,54.545,0.92953
0.85,1.3,40,65,2,1,0.03,0.008,11,6,5,54.545,0.92953
0.85,1.3,40,65,2,1,0.03,0.01,11,6,5,54.545,0.92953
0.85,1.25,40,65,2,2,0.03,0.008,6,4,2,66.667,0.926404
0.85,1.25,40,65,2,2,0.03,0.01,6,4,2,66.667,0.926404
0.85,1.3,40,65,2,2,0.03,0.008,6,4,2,66.667,0.926404
0.85,1.3,40,65,2,2,0.03,0.01,6,4,2,66.667,0.926404
0.85,1.25,35,60,1,2,0.02,0.008,12,10,2,83.333,0.925107
0.85,1.25,35,60,1,2,0.02,0.01,12,10,2,83.333,0.925107
0.85,1.25,40,60,1,2,0.02,0.008,12,10,2,83.333,0.925107
0.85,1.25,40,60,1,2,0.02,0.01,12,10,2,83.333,0.925107
0.85,1.3,35,60,1,2,0.02,0.008,12,10,2,83.333,0.925107
0.85,1.3,35,60,1,2,0.02,0.01,12,10,2,83.333,0.925107
0.85,1.3,40,60,1,2,0.02,0.008,12,10,2,83.333,0.925107
0.85,1.3,40,60,1,2,0.02,0.01,12,10,2,83.333,0.925107
0.85,1.25,40,65,2,2,0.02,0.008,6,4,2,66.667,0.91954
0.85,1.25,40,65,2,2,0.02,0.01,6,4,2,66.667,0.91954
