tp_TR,trail_TR,tp_RG,trail_RG,stop_mult,ratio_max,vol_x,cooldown,ema_fast,ema_slow,base_k,adx_thr,trades,wins,losses,win_rate_pct,equity_multiple
2.5,1.5,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,1.5,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,1.5,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,1.5,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,1.5,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,1.5,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,1.5,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,1.5,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,1.5,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,1.5,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,1.5,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,1.5,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,1.5,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,1.5,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,1.5,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,1.5,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,1.5,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,1.5,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,1.5,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,1.5,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,1.5,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,1.5,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,1.5,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,1.5,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,1.5,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,1.5,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,1.5,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,2.0,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,2.0,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,2.0,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,2.0,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,2.0,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,2.0,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,2.0,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,2.0,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,2.0,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,2.0,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,2.0,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,2.0,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,2.0,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,2.0,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,2.0,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,2.0,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,2.0,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,2.0,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,2.0,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,2.0,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,2.0,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
2.5,2.0,2.0,1.25,1.0,1.6,0.85,1,20,100,1.6,22.0,24,12,12,50.0,1.028935
