tp_TR,trail_TR,tp_RG,trail_RG,stop_mult,be_lock,time_stop_bars,trades,wins,losses,win_rate_pct,equity_multiple
2.5,1.5,1.5,1.25,0.9,1.0,8,24,11,13,45.83,1.018383
2.5,1.75,1.5,1.25,0.9,1.0,8,24,11,13,45.83,1.018383
2.5,2.0,1.5,1.25,0.9,1.0,8,24,11,13,45.83,1.018383
2.5,1.5,1.5,1.25,1.0,1.0,8,24,11,13,45.83,1.014924
2.5,1.5,1.5,1.25,1.1,1.0,8,24,11,13,45.83,1.014924
2.5,1.75,1.5,1.25,1.0,1.0,8,24,11,13,45.83,1.014924
2.5,1.75,1.5,1.25,1.1,1.0,8,24,11,13,45.83,1.014924
2.5,2.0,1.5,1.25,1.0,1.0,8,24,11,13,45.83,1.014924
2.5,2.0,1.5,1.25,1.1,1.0,8,24,11,13,45.83,1.014924
2.5,1.5,1.5,1.5,1.1,1.0,8,24,11,13,45.83,1.01136
2.5,1.75,1.5,1.5,1.1,1.0,8,24,11,13,45.83,1.01136
2.5,2.0,1.5,1.5,1.1,1.0,8,24,11,13,45.83,1.01136
2.5,1.5,1.5,1.5,0.9,1.0,8,24,11,13,45.83,1.011171
2.5,1.75,1.5,1.5,0.9,1.0,8,24,11,13,45.83,1.011171
2.5,2.0,1.5,1.5,0.9,1.0,8,24,11,13,45.83,1.011171
2.5,1.5,1.5,1.25,0.9,0.75,8,25,10,15,40.0,1.011146
2.5,1.75,1.5,1.25,0.9,0.75,8,25,10,15,40.0,1.011146
2.5,2.0,1.5,1.25,0.9,0.75,8,25,10,15,40.0,1.011146
2.5,1.5,1.5,1.25,0.9,1.0,12,24,11,13,45.83,1.009734
2.5,1.75,1.5,1.25,0.9,1.0,12,24,11,13,45.83,1.009734
2.5,2.0,1.5,1.25,0.9,1.0,12,24,11,13,45.83,1.009734
2.5,1.5,1.5,1.0,0.9,1.0,12,24,11,13,45.83,1.009655
2.5,1.75,1.5,1.0,0.9,1.0,12,24,11,13,45.83,1.009655
2.5,2.0,1.5,1.0,0.9,1.0,12,24,11,13,45.83,1.009655
2.5,1.5,1.5,1.0,0.9,1.0,8,24,11,13,45.83,1.009548
2.5,1.75,1.5,1.0,0.9,1.0,8,24,11,13,45.83,1.009548
2.5,2.0,1.5,1.0,0.9,1.0,8,24,11,13,45.83,1.009548
2.5,1.5,1.5,1.25,0.9,1.0,16,24,11,13,45.83,1.009274
2.5,1.75,1.5,1.25,0.9,1.0,16,24,11,13,45.83,1.009274
2.5,2.0,1.5,1.25,0.9,1.0,16,24,11,13,45.83,1.009274
2.5,1.5,1.5,1.5,1.0,1.0,8,24,11,13,45.83,1.007737
2.5,1.75,1.5,1.5,1.0,1.0,8,24,11,13,45.83,1.007737
2.5,2.0,1.5,1.5,1.0,1.0,8,24,11,13,45.83,1.007737
2.5,1.5,1.5,1.25,1.0,0.75,8,25,10,15,40.0,1.007712
2.5,1.5,1.5,1.25,1.1,0.75,8,25,10,15,40.0,1.007712
2.5,1.75,1.5,1.25,1.0,0.75,8,25,10,15,40.0,1.007712
2.5,1.75,1.5,1.25,1.1,0.75,8,25,10,15,40.0,1.007712
2.5,2.0,1.5,1.25,1.0,0.75,8,25,10,15,40.0,1.007712
2.5,2.0,1.5,1.25,1.1,0.75,8,25,10,15,40.0,1.007712
2.5,1.5,1.5,1.0,1.0,1.0,12,24,11,13,45.83,1.007036
2.5,1.5,1.5,1.0,1.1,1.0,12,24,11,13,45.83,1.007036
2.5,1.75,1.5,1.0,1.0,1.0,12,24,11,13,45.83,1.007036
2.5,1.75,1.5,1.0,1.1,1.0,12,24,11,13,45.83,1.007036
2.5,2.0,1.5,1.0,1.0,1.0,12,24,11,13,45.83,1.007036
2.5,2.0,1.5,1.0,1.1,1.0,12,24,11,13,45.83,1.007036
