vol_buy_x,ema_fast,ema_slow,bb_k,atr_mult,tp_mult,symbol,interval,bars,trades,wins,losses,win_rate_pct,equity_multiple
0.9,20,100,1.8,2.5,3.0,SOLUSDT,15m,5000,9,4,5,44.444,0.978146
0.9,20,100,2.0,2.5,3.0,SOLUSDT,15m,5000,9,4,5,44.444,0.978146
0.9,20,100,2.2,2.5,3.0,SOLUSDT,15m,5000,9,4,5,44.444,0.978146
0.95,20,100,1.8,2.5,3.0,SOLUSDT,15m,5000,9,4,5,44.444,0.978146
0.95,20,100,2.0,2.5,3.0,SOLUSDT,15m,5000,9,4,5,44.444,0.978146
0.95,20,100,2.2,2.5,3.0,SOLUSDT,15m,5000,9,4,5,44.444,0.978146
1.0,20,100,1.8,2.5,3.0,SOLUSDT,15m,5000,9,4,5,44.444,0.978146
1.0,20,100,2.0,2.5,3.0,SOLUSDT,15m,5000,9,4,5,44.444,0.978146
1.0,20,100,2.2,2.5,3.0,SOLUSDT,15m,5000,9,4,5,44.444,0.978146
0.9,20,100,1.8,2.5,2.0,SOLUSDT,15m,5000,9,5,4,55.556,0.969468
0.9,20,100,2.0,2.5,2.0,SOLUSDT,15m,5000,9,5,4,55.556,0.969468
0.9,20,100,2.2,2.5,2.0,SOLUSDT,15m,5000,9,5,4,55.556,0.969468
0.95,20,100,1.8,2.5,2.0,SOLUSDT,15m,5000,9,5,4,55.556,0.969468
0.95,20,100,2.0,2.5,2.0,SOLUSDT,15m,5000,9,5,4,55.556,0.969468
0.95,20,100,2.2,2.5,2.0,SOLUSDT,15m,5000,9,5,4,55.556,0.969468
1.0,20,100,1.8,2.5,2.0,SOLUSDT,15m,5000,9,5,4,55.556,0.969468
1.0,20,100,2.0,2.5,2.0,SOLUSDT,15m,5000,9,5,4,55.556,0.969468
1.0,20,100,2.2,2.5,2.0,SOLUSDT,15m,5000,9,5,4,55.556,0.969468
0.9,20,100,1.8,1.5,2.0,SOLUSDT,15m,5000,9,4,5,44.444,0.96158
0.9,20,100,2.0,1.5,2.0,SOLUSDT,15m,5000,9,4,5,44.444,0.96158
0.9,20,100,2.2,1.5,2.0,SOLUSDT,15m,5000,9,4,5,44.444,0.96158
0.95,20,100,1.8,1.5,2.0,SOLUSDT,15m,5000,9,4,5,44.444,0.96158
0.95,20,100,2.0,1.5,2.0,SOLUSDT,15m,5000,9,4,5,44.444,0.96158
0.95,20,100,2.2,1.5,2.0,SOLUSDT,15m,5000,9,4,5,44.444,0.96158
1.0,20,100,1.8,1.5,2.0,SOLUSDT,15m,5000,9,4,5,44.444,0.96158
1.0,20,100,2.0,1.5,2.0,SOLUSDT,15m,5000,9,4,5,44.444,0.96158
1.0,20,100,2.2,1.5,2.0,SOLUSDT,15m,5000,9,4,5,44.444,0.96158
0.9,20,100,1.8,2.0,2.0,SOLUSDT,15m,5000,9,4,5,44.444,0.959005
0.9,20,100,2.0,2.0,2.0,SOLUSDT,15m,5000,9,4,5,44.444,0.959005
0.9,20,100,2.2,2.0,2.0,SOLUSDT,15m,5000,9,4,5,44.444,0.959005
0.95,20,100,1.8,2.0,2.0,SOLUSDT,15m,5000,9,4,5,44.444,0.959005
0.95,20,100,2.0,2.0,2.0,SOLUSDT,15m,5000,9,4,5,44.444,0.959005
0.95,20,100,2.2,2.0,2.0,SOLUSDT,15m,5000,9,4,5,44.444,0.959005
1.0,20,100,1.8,2.0,2.0,SOLUSDT,15m,5000,9,4,5,44.444,0.959005
1.0,20,100,2.0,2.0,2.0,SOLUSDT,15m,5000,9,4,5,44.444,0.959005
1.0,20,100,2.2,2.0,2.0,SOLUSDT,15m,5000,9,4,5,44.444,0.959005
0.9,20,100,1.8,2.5,1.5,SOLUSDT,15m,5000,9,5,4,55.556,0.953329
0.9,20,100,2.0,2.5,1.5,SOLUSDT,15m,5000,9,5,4,55.556,0.953329
0.9,20,100,2.2,2.5,1.5,SOLUSDT,15m,5000,9,5,4,55.556,0.953329
0.95,20,100,1.8,2.5,1.5,SOLUSDT,15m,5000,9,5,4,55.556,0.953329
0.95,20,100,2.0,2.5,1.5,SOLUSDT,15m,5000,9,5,4,55.556,0.953329
0.95,20,100,2.2,2.5,1.5,SOLUSDT,15m,5000,9,5,4,55.556,0.953329
1.0,20,100,1.8,2.5,1.5,SOLUSDT,15m,5000,9,5,4,55.556,0.953329
1.0,20,100,2.0,2.5,1.5,SOLUSDT,15m,5000,9,5,4,55.556,0.953329
1.0,20,100,2.2,2.5,1.5,SOLUSDT,15m,5000,9,5,4,55.556,0.953329
0.9,50,100,1.8,2.5,3.0,SOLUSDT,15m,5000,8,3,5,37.5,0.95102
0.9,50,100,2.0,2.5,3.0,SOLUSDT,15m,5000,8,3,5,37.5,0.95102
0.9,50,100,2.2,2.5,3.0,SOLUSDT,15m,5000,8,3,5,37.5,0.95102
0.95,50,100,1.8,2.5,3.0,SOLUSDT,15m,5000,8,3,5,37.5,0.95102
0.95,50,100,2.0,2.5,3.0,SOLUSDT,15m,5000,8,3,5,37.5,0.95102
0.95,50,100,2.2,2.5,3.0,SOLUSDT,15m,5000,8,3,5,37.5,0.95102
1.0,50,100,1.8,2.5,3.0,SOLUSDT,15m,5000,8,3,5,37.5,0.95102
1.0,50,100,2.0,2.5,3.0,SOLUSDT,15m,5000,8,3,5,37.5,0.95102
1.0,50,100,2.2,2.5,3.0,SOLUSDT,15m,5000,8,3,5,37.5,0.95102
0.9,20,100,1.8,1.5,1.5,SOLUSDT,15m,5000,9,4,5,44.444,0.94674
0.9,20,100,2.0,1.5,1.5,SOLUSDT,15m,5000,9,4,5,44.444,0.94674
0.9,20,100,2.2,1.5,1.5,SOLUSDT,15m,5000,9,4,5,44.444,0.94674
0.95,20,100,1.8,1.5,1.5,SOLUSDT,15m,5000,9,4,5,44.444,0.94674
0.95,20,100,2.0,1.5,1.5,SOLUSDT,15m,5000,9,4,5,44.444,0.94674
0.95,20,100,2.2,1.5,1.5,SOLUSDT,15m,5000,9,4,5,44.444,0.94674
1.0,20,100,1.8,1.5,1.5,SOLUSDT,15m,5000,9,4,5,44.444,0.94674
1.0,20,100,2.0,1.5,1.5,SOLUSDT,15m,5000,9,4,5,44.444,0.94674
1.0,20,100,2.2,1.5,1.5,SOLUSDT,15m,5000,9,4,5,44.444,0.94674
0.9,20,100,1.8,1.5,3.0,SOLUSDT,15m,5000,9,3,6,33.333,0.945997
0.9,20,100,2.0,1.5,3.0,SOLUSDT,15m,5000,9,3,6,33.333,0.945997
0.9,20,100,2.2,1.5,3.0,SOLUSDT,15m,5000,9,3,6,33.333,0.945997
0.95,20,100,1.8,1.5,3.0,SOLUSDT,15m,5000,9,3,6,33.333,0.945997
0.95,20,100,2.0,1.5,3.0,SOLUSDT,15m,5000,9,3,6,33.333,0.945997
0.95,20,100,2.2,1.5,3.0,SOLUSDT,15m,5000,9,3,6,33.333,0.945997
1.0,20,100,1.8,1.5,3.0,SOLUSDT,15m,5000,9,3,6,33.333,0.945997
1.0,20,100,2.0,1.5,3.0,SOLUSDT,15m,5000,9,3,6,33.333,0.945997
1.0,20,100,2.2,1.5,3.0,SOLUSDT,15m,5000,9,3,6,33.333,0.945997
0.9,20,100,1.8,2.0,1.5,SOLUSDT,15m,5000,9,4,5,44.444,0.944205
0.9,20,100,2.0,2.0,1.5,SOLUSDT,15m,5000,9,4,5,44.444,0.944205
0.9,20,100,2.2,2.0,1.5,SOLUSDT,15m,5000,9,4,5,44.444,0.944205
0.95,20,100,1.8,2.0,1.5,SOLUSDT,15m,5000,9,4,5,44.444,0.944205
0.95,20,100,2.0,2.0,1.5,SOLUSDT,15m,5000,9,4,5,44.444,0.944205
0.95,20,100,2.2,2.0,1.5,SOLUSDT,15m,5000,9,4,5,44.444,0.944205
1.0,20,100,1.8,2.0,1.5,SOLUSDT,15m,5000,9,4,5,44.444,0.944205
1.0,20,100,2.0,2.0,1.5,SOLUSDT,15m,5000,9,4,5,44.444,0.944205
1.0,20,100,2.2,2.0,1.5,SOLUSDT,15m,5000,9,4,5,44.444,0.944205
0.9,20,100,1.8,2.0,3.0,SOLUSDT,15m,5000,9,3,6,33.333,0.940808
0.9,20,100,2.0,2.0,3.0,SOLUSDT,15m,5000,9,3,6,33.333,0.940808
0.9,20,100,2.2,2.0,3.0,SOLUSDT,15m,5000,9,3,6,33.333,0.940808
0.95,20,100,1.8,2.0,3.0,SOLUSDT,15m,5000,9,3,6,33.333,0.940808
0.95,20,100,2.0,2.0,3.0,SOLUSDT,15m,5000,9,3,6,33.333,0.940808
0.95,20,100,2.2,2.0,3.0,SOLUSDT,15m,5000,9,3,6,33.333,0.940808
1.0,20,100,1.8,2.0,3.0,SOLUSDT,15m,5000,9,3,6,33.333,0.940808
1.0,20,100,2.0,2.0,3.0,SOLUSDT,15m,5000,9,3,6,33.333,0.940808
1.0,20,100,2.2,2.0,3.0,SOLUSDT,15m,5000,9,3,6,33.333,0.940808
0.9,50,100,1.8,2.5,2.0,SOLUSDT,15m,5000,8,3,5,37.5,0.936878
0.9,50,100,2.0,2.5,2.0,SOLUSDT,15m,5000,8,3,5,37.5,0.936878
0.9,50,100,2.2,2.5,2.0,SOLUSDT,15m,5000,8,3,5,37.5,0.936878
0.95,50,100,1.8,2.5,2.0,SOLUSDT,15m,5000,8,3,5,37.5,0.936878
0.95,50,100,2.0,2.5,2.0,SOLUSDT,15m,5000,8,3,5,37.5,0.936878
0.95,50,100,2.2,2.5,2.0,SOLUSDT,15m,5000,8,3,5,37.5,0.936878
1.0,50,100,1.8,2.5,2.0,SOLUSDT,15m,5000,8,3,5,37.5,0.936878
1.0,50,100,2.0,2.5,2.0,SOLUSDT,15m,5000,8,3,5,37.5,0.936878
1.0,50,100,2.2,2.5,2.0,SOLUSDT,15m,5000,8,3,5,37.5,0.936878
0.9,50,100,1.8,1.5,2.0,SOLUSDT,15m,5000,8,2,6,25.0,0.935765
0.9,50,100,2.0,1.5,2.0,SOLUSDT,15m,5000,8,2,6,25.0,0.935765
0.9,50,100,2.2,1.5,2.0,SOLUSDT,15m,5000,8,2,6,25.0,0.935765
0.95,50,100,1.8,1.5,2.0,SOLUSDT,15m,5000,8,2,6,25.0,0.935765
0.95,50,100,2.0,1.5,2.0,SOLUSDT,15m,5000,8,2,6,25.0,0.935765
0.95,50,100,2.2,1.5,2.0,SOLUSDT,15m,5000,8,2,6,25.0,0.935765
1.0,50,100,1.8,1.5,2.0,SOLUSDT,15m,5000,8,2,6,25.0,0.935765
1.0,50,100,2.0,1.5,2.0,SOLUSDT,15m,5000,8,2,6,25.0,0.935765
1.0,50,100,2.2,1.5,2.0,SOLUSDT,15m,5000,8,2,6,25.0,0.935765
0.9,50,100,1.8,2.0,2.0,SOLUSDT,15m,5000,8,2,6,25.0,0.933259
0.9,50,100,2.0,2.0,2.0,SOLUSDT,15m,5000,8,2,6,25.0,0.933259
0.9,50,100,2.2,2.0,2.0,SOLUSDT,15m,5000,8,2,6,25.0,0.933259
0.95,50,100,1.8,2.0,2.0,SOLUSDT,15m,5000,8,2,6,25.0,0.933259
0.95,50,100,2.0,2.0,2.0,SOLUSDT,15m,5000,8,2,6,25.0,0.933259
0.95,50,100,2.2,2.0,2.0,SOLUSDT,15m,5000,8,2,6,25.0,0.933259
1.0,50,100,1.8,2.0,2.0,SOLUSDT,15m,5000,8,2,6,25.0,0.933259
1.0,50,100,2.0,2.0,2.0,SOLUSDT,15m,5000,8,2,6,25.0,0.933259
1.0,50,100,2.2,2.0,2.0,SOLUSDT,15m,5000,8,2,6,25.0,0.933259
0.9,50,100,1.8,1.5,3.0,SOLUSDT,15m,5000,8,2,6,25.0,0.923599
0.9,50,100,2.0,1.5,3.0,SOLUSDT,15m,5000,8,2,6,25.0,0.923599
0.9,50,100,2.2,1.5,3.0,SOLUSDT,15m,5000,8,2,6,25.0,0.923599
0.95,50,100,1.8,1.5,3.0,SOLUSDT,15m,5000,8,2,6,25.0,0.923599
0.95,50,100,2.0,1.5,3.0,SOLUSDT,15m,5000,8,2,6,25.0,0.923599
0.95,50,100,2.2,1.5,3.0,SOLUSDT,15m,5000,8,2,6,25.0,0.923599
1.0,50,100,1.8,1.5,3.0,SOLUSDT,15m,5000,8,2,6,25.0,0.923599
1.0,50,100,2.0,1.5,3.0,SOLUSDT,15m,5000,8,2,6,25.0,0.923599
1.0,50,100,2.2,1.5,3.0,SOLUSDT,15m,5000,8,2,6,25.0,0.923599
0.9,50,100,1.8,1.5,1.5,SOLUSDT,15m,5000,8,2,6,25.0,0.921324
0.9,50,100,2.0,1.5,1.5,SOLUSDT,15m,5000,8,2,6,25.0,0.921324
0.9,50,100,2.2,1.5,1.5,SOLUSDT,15m,5000,8,2,6,25.0,0.921324
0.95,50,100,1.8,1.5,1.5,SOLUSDT,15m,5000,8,2,6,25.0,0.921324
0.95,50,100,2.0,1.5,1.5,SOLUSDT,15m,5000,8,2,6,25.0,0.921324
0.95,50,100,2.2,1.5,1.5,SOLUSDT,15m,5000,8,2,6,25.0,0.921324
1.0,50,100,1.8,1.5,1.5,SOLUSDT,15m,5000,8,2,6,25.0,0.921324
