mode,vol_min,trend_min,months,coverage_%,gm_per_month,equity_multiple,avg_max_dd%,trades
pos,0.002,0.2,21,34.43,0.871765,0.056025,22.51,861
pos,0.004,0.2,21,34.43,0.871765,0.056025,22.51,861
pos,0.002,0.15,24,39.34,0.871711,0.037063,21.72,976
pos,0.004,0.1,24,39.34,0.871711,0.037063,21.72,976
pos,0.004,0.15,24,39.34,0.871711,0.037063,21.72,976
pos,0.002,0.1,27,44.26,0.871071,0.024068,20.89,1113
pos,0.004,0.08,25,40.98,0.860193,0.023168,22.45,1021
pos,0.002,0.08,29,47.54,0.860088,0.01264,21.41,1195
pos,0.004,0.05,26,42.62,0.859562,0.019553,22.29,1060
pos,0.004,0.03,28,45.9,0.85877,0.014078,22.14,1141
pos,0.002,0.05,31,50.82,0.85552,0.007927,21.48,1279
pos,0.002,0.03,33,54.1,0.855095,0.005708,21.39,1360
pos,0.004,0.0,29,47.54,0.85305,0.00996,22.46,1198
pos,0.002,0.0,34,55.74,0.850342,0.004038,21.69,1417
pos,0.006,0.0,16,26.23,0.846453,0.069446,26.22,658
pos,0.006,0.03,16,26.23,0.846453,0.069446,26.22,658
abs,0.006,0.3,18,29.51,0.824419,0.03095,28.06,792
abs,0.006,0.2,23,37.7,0.81145,0.008185,28.61,1015
abs,0.006,0.1,24,39.34,0.807315,0.005875,28.59,1067
abs,0.006,0.15,24,39.34,0.807315,0.005875,28.59,1067
abs,0.002,0.3,23,37.7,0.807248,0.007264,27.86,1007
abs,0.004,0.3,23,37.7,0.807248,0.007264,27.86,1007
abs,0.002,0.2,36,59.02,0.805725,0.000419,26.85,1589
abs,0.004,0.2,36,59.02,0.805725,0.000419,26.85,1589
abs,0.002,0.15,42,68.85,0.8028,9.9e-05,26.35,1841
abs,0.004,0.15,42,68.85,0.8028,9.9e-05,26.35,1841
abs,0.002,0.1,46,75.41,0.80128,3.8e-05,25.91,2034
abs,0.006,0.0,28,45.9,0.800398,0.001961,28.72,1243
abs,0.006,0.08,25,40.98,0.799098,0.003673,29.05,1112
abs,0.004,0.1,43,70.49,0.796951,5.8e-05,26.72,1897
abs,0.006,0.03,27,44.26,0.793465,0.001938,29.11,1196
abs,0.002,0.08,51,83.61,0.792416,7e-06,26.28,2249
abs,0.006,0.05,26,42.62,0.792149,0.002339,29.39,1160
abs,0.002,0.03,57,93.44,0.790718,2e-06,26.13,2516
abs,0.002,0.0,61,100.0,0.790289,1e-06,26.18,2704
abs,0.002,0.05,54,88.52,0.789196,3e-06,26.36,2381
abs,0.004,0.0,53,86.89,0.788567,3e-06,27.03,2359
abs,0.004,0.08,46,75.41,0.786726,1.6e-05,27.4,2033
abs,0.004,0.03,51,83.61,0.786386,5e-06,27.12,2255
abs,0.004,0.05,48,78.69,0.784414,9e-06,27.43,2120
