side,mode,t_entry,t_exit,entry,exit,gross_pct,net_pct
long,TR,2025-08-13 01:29:59.999000+00:00,2025-08-13 02:44:59.999000+00:00,194.65,196.92,1.1662,0.9662
short,RG,2025-08-14 03:59:59.999000+00:00,2025-08-14 08:14:59.999000+00:00,207.94,204.24,1.8116,1.6116
long,TR,2025-08-14 12:14:59.999000+00:00,2025-08-14 12:44:59.999000+00:00,204.22,197.82,-3.1339,-3.3339
short,RG,2025-08-15 22:44:59.999000+00:00,2025-08-15 22:59:59.999000+00:00,186.32,187.72,-0.7458,-0.9458
short,RG,2025-08-16 00:14:59.999000+00:00,2025-08-16 01:59:59.999000+00:00,186.67,187.93,-0.6705,-0.8705
long,RG,2025-08-16 05:44:59.999000+00:00,2025-08-16 07:14:59.999000+00:00,186.42,187.86,0.7724,0.5724
short,RG,2025-08-16 07:29:59.999000+00:00,2025-08-16 09:59:59.999000+00:00,188.4,186.05,1.2631,1.0631
short,RG,2025-08-16 14:29:59.999000+00:00,2025-08-16 19:29:59.999000+00:00,188.52,188.73,-0.1113,-0.3113
short,RG,2025-08-16 23:14:59.999000+00:00,2025-08-16 23:59:59.999000+00:00,189.15,189.6,-0.2373,-0.4373
long,RG,2025-08-17 00:59:59.999000+00:00,2025-08-17 02:29:59.999000+00:00,188.16,189.54,0.7334,0.5334
short,RG,2025-08-17 02:44:59.999000+00:00,2025-08-17 04:14:59.999000+00:00,191.46,192.42,-0.4989,-0.6989
long,TR,2025-08-17 08:59:59.999000+00:00,2025-08-17 09:29:59.999000+00:00,193.41,192.66,-0.3878,-0.5878
long,RG,2025-08-18 07:29:59.999000+00:00,2025-08-18 11:59:59.999000+00:00,180.57,181.36,0.4375,0.2375
short,RG,2025-08-18 12:14:59.999000+00:00,2025-08-18 12:59:59.999000+00:00,181.81,183.2,-0.7587,-0.9587
short,RG,2025-08-18 16:14:59.999000+00:00,2025-08-18 17:29:59.999000+00:00,183.48,184.24,-0.4125,-0.6125
short,RG,2025-08-18 17:44:59.999000+00:00,2025-08-18 20:44:59.999000+00:00,185.02,182.66,1.292,1.092
short,RG,2025-08-18 22:29:59.999000+00:00,2025-08-18 23:44:59.999000+00:00,184.88,182.94,1.0605,0.8605
long,RG,2025-08-19 00:29:59.999000+00:00,2025-08-19 00:59:59.999000+00:00,181.94,185.01,1.6874,1.4874
long,RG,2025-08-19 03:14:59.999000+00:00,2025-08-19 03:44:59.999000+00:00,181.67,179.27,-1.3211,-1.5211
long,RG,2025-08-19 03:59:59.999000+00:00,2025-08-19 09:14:59.999000+00:00,178.52,181.35,1.5853,1.3853
short,RG,2025-08-19 09:29:59.999000+00:00,2025-08-19 11:59:59.999000+00:00,181.9,182.66,-0.4161,-0.6161
short,RG,2025-08-19 13:29:59.999000+00:00,2025-08-19 13:44:59.999000+00:00,182.76,180.92,1.017,0.817
long,RG,2025-08-19 14:29:59.999000+00:00,2025-08-19 15:14:59.999000+00:00,179.34,178.03,-0.7305,-0.9305
long,RG,2025-08-19 19:14:59.999000+00:00,2025-08-19 19:29:59.999000+00:00,176.21,178.05,1.0442,0.8442
long,RG,2025-08-19 23:59:59.999000+00:00,2025-08-20 00:44:59.999000+00:00,176.22,178.15,1.0952,0.8952
short,RG,2025-08-20 02:14:59.999000+00:00,2025-08-20 07:14:59.999000+00:00,180.63,181.45,-0.4519,-0.6519
short,RG,2025-08-20 08:29:59.999000+00:00,2025-08-20 11:14:59.999000+00:00,181.41,180.55,0.4763,0.2763
long,RG,2025-08-20 11:44:59.999000+00:00,2025-08-20 11:59:59.999000+00:00,178.67,180.29,0.9067,0.7067
long,RG,2025-08-20 13:59:59.999000+00:00,2025-08-20 14:44:59.999000+00:00,178.85,181.63,1.5544,1.3544
short,RG,2025-08-20 15:29:59.999000+00:00,2025-08-20 17:44:59.999000+00:00,184.54,185.86,-0.7102,-0.9102
short,RG,2025-08-20 19:59:59.999000+00:00,2025-08-20 23:44:59.999000+00:00,187.59,187.63,-0.0213,-0.2213
short,RG,2025-08-21 00:44:59.999000+00:00,2025-08-21 01:59:59.999000+00:00,188.23,189.09,-0.4548,-0.6548
long,RG,2025-08-21 02:44:59.999000+00:00,2025-08-21 03:14:59.999000+00:00,185.91,189.1,1.7159,1.5159
long,RG,2025-08-21 09:14:59.999000+00:00,2025-08-21 11:59:59.999000+00:00,184.61,184.03,-0.3142,-0.5142
long,TR,2025-08-21 14:14:59.999000+00:00,2025-08-21 14:29:59.999000+00:00,185.45,186.3,0.4583,0.2583
long,RG,2025-08-21 23:44:59.999000+00:00,2025-08-22 00:29:59.999000+00:00,179.99,181.38,0.7723,0.5723
long,RG,2025-08-22 01:14:59.999000+00:00,2025-08-22 01:44:59.999000+00:00,180.24,181.92,0.9321,0.7321
