vol_x,ema_fast,ema_slow,base_k,ratio_max,adx_thr,stop_mult,trail_TR,tp_TR,trail_RG,tp_RG,cooldown,trades,wins,losses,win_rate_pct,equity_multiple
0.85,20,100,1.6,1.4,18,1.0,2.0,3.0,1.5,1.5,1,36,19,17,52.78,1.006525
0.85,20,100,1.6,1.4,18,1.0,2.0,4.0,1.5,1.5,1,36,19,17,52.78,1.006525
0.85,20,100,1.6,1.4,18,1.0,2.5,3.0,1.5,1.5,1,36,19,17,52.78,1.006525
0.85,20,100,1.6,1.4,18,1.0,2.5,4.0,1.5,1.5,1,36,19,17,52.78,1.006525
0.85,20,100,1.6,1.4,18,1.5,2.0,3.0,1.5,1.5,1,36,19,17,52.78,0.998131
0.85,20,100,1.6,1.4,18,1.5,2.0,4.0,1.5,1.5,1,36,19,17,52.78,0.998131
0.85,20,100,1.6,1.4,18,1.5,2.5,3.0,1.5,1.5,1,36,19,17,52.78,0.998131
0.85,20,100,1.6,1.4,18,1.5,2.5,4.0,1.5,1.5,1,36,19,17,52.78,0.998131
0.85,20,100,1.6,1.4,22,1.0,2.0,3.0,1.5,1.5,1,37,20,17,54.05,1.022746
0.85,20,100,1.6,1.4,22,1.0,2.0,4.0,1.5,1.5,1,37,20,17,54.05,1.022746
0.85,20,100,1.6,1.4,22,1.0,2.5,3.0,1.5,1.5,1,37,20,17,54.05,1.022746
0.85,20,100,1.6,1.4,22,1.0,2.5,4.0,1.5,1.5,1,37,20,17,54.05,1.022746
0.85,20,100,1.6,1.4,22,1.5,2.0,3.0,1.5,1.5,1,37,20,17,54.05,1.014217
0.85,20,100,1.6,1.4,22,1.5,2.0,4.0,1.5,1.5,1,37,20,17,54.05,1.014217
0.85,20,100,1.6,1.4,22,1.5,2.5,3.0,1.5,1.5,1,37,20,17,54.05,1.014217
0.85,20,100,1.6,1.4,22,1.5,2.5,4.0,1.5,1.5,1,37,20,17,54.05,1.014217
0.85,20,100,1.6,1.6,18,1.0,2.0,3.0,1.5,1.5,1,36,19,17,52.78,1.012131
0.85,20,100,1.6,1.6,18,1.0,2.0,4.0,1.5,1.5,1,36,19,17,52.78,1.012131
0.85,20,100,1.6,1.6,18,1.0,2.5,3.0,1.5,1.5,1,36,19,17,52.78,1.012131
0.85,20,100,1.6,1.6,18,1.0,2.5,4.0,1.5,1.5,1,36,19,17,52.78,1.012131
0.85,20,100,1.6,1.6,18,1.5,2.0,3.0,1.5,1.5,1,36,19,17,52.78,1.00369
0.85,20,100,1.6,1.6,18,1.5,2.0,4.0,1.5,1.5,1,36,19,17,52.78,1.00369
0.85,20,100,1.6,1.6,18,1.5,2.5,3.0,1.5,1.5,1,36,19,17,52.78,1.00369
0.85,20,100,1.6,1.6,18,1.5,2.5,4.0,1.5,1.5,1,36,19,17,52.78,1.00369
0.85,20,100,1.6,1.6,22,1.0,2.0,3.0,1.5,1.5,1,37,20,17,54.05,1.028442
0.85,20,100,1.6,1.6,22,1.0,2.0,4.0,1.5,1.5,1,37,20,17,54.05,1.028442
