tp_TR,tp_RG,mid_buf,trades,equity_multiple
2.5,1.5,0.003,46,0.971513
3.0,1.5,0.003,46,0.971513
3.5,1.5,0.003,46,0.971513
2.5,1.5,0.001,39,0.965645
3.0,1.5,0.001,39,0.965645
3.5,1.5,0.001,39,0.965645
2.5,1.5,0.002,44,0.959598
3.0,1.5,0.002,44,0.959598
3.5,1.5,0.002,44,0.959598
2.5,1.2,0.003,47,0.95581
3.0,1.2,0.003,47,0.95581
3.5,1.2,0.003,47,0.95581
2.5,1.2,0.001,40,0.950037
3.0,1.2,0.001,40,0.950037
3.5,1.2,0.001,40,0.950037
2.5,1.2,0.002,45,0.944087
3.0,1.2,0.002,45,0.944087
3.5,1.2,0.002,45,0.944087
