BB_COOLDOWN_BARS,BB_K,BB_PERIOD,EMA_TREND_N,REQUIRE_TREND,RSI_BUY_MAX,RSI_SELL_MIN,VOL_MA_N,VOL_MULT,avg_trade_ret_pct,entry_func,equity_multiple,losses,max_drawdown_pct,trades,win_rate_pct,wins
2,2.4,20,100,1,60,60,20,1.0,-0.2688,run_backtest,0.550827,92,49.64,199,53.77,107
2,2.4,20,100,1,55,60,20,1.0,-0.2748,run_backtest,0.550369,91,49.68,195,53.33,104
0,2.4,20,100,1,60,60,20,1.0,-0.2747,run_backtest,0.541255,93,50.51,201,53.73,108
0,2.4,20,100,1,55,60,20,1.0,-0.2808,run_backtest,0.540804,92,50.55,197,53.3,105
2,2.4,20,100,1,60,65,20,1.0,-0.2977,run_backtest,0.520908,97,54.15,197,50.76,100
0,2.4,12,100,1,55,65,20,1.0,-0.2586,run_backtest,0.518065,109,56.65,223,51.12,114
2,2.4,12,100,1,55,65,20,1.0,-0.2628,run_backtest,0.516206,108,56.8,221,51.13,113
2,2.4,20,100,1,55,65,20,1.0,-0.3089,run_backtest,0.515983,96,54.06,193,50.26,97
0,2.4,12,100,1,60,60,20,1.0,-0.255,run_backtest,0.513955,110,54.57,231,52.38,121
2,2.4,12,100,1,60,60,20,1.0,-0.2591,run_backtest,0.512112,109,54.73,229,52.4,120
0,2.4,20,100,1,60,65,20,1.0,-0.3034,run_backtest,0.511856,98,54.95,199,50.75,101
2,2.4,20,200,1,60,60,20,1.0,-0.1349,run_backtest,0.507922,183,65.15,386,52.59,203
0,2.4,12,100,1,55,60,20,1.0,-0.2698,run_backtest,0.507615,107,55.14,223,52.02,116
2,2.4,20,200,1,55,60,20,1.0,-0.1366,run_backtest,0.507499,182,65.09,382,52.36,200
0,2.4,20,100,1,55,65,20,1.0,-0.3146,run_backtest,0.507017,97,54.86,195,50.26,98
0,2.4,12,100,1,60,65,20,1.0,-0.2592,run_backtest,0.50624,112,58.45,231,51.52,119
2,2.4,12,100,1,55,60,20,1.0,-0.2742,run_backtest,0.505794,106,55.3,221,52.04,115
2,2.4,12,100,1,60,65,20,1.0,-0.2633,run_backtest,0.504424,111,58.6,229,51.53,118
2,2.4,20,200,1,60,65,20,1.0,-0.1517,run_backtest,0.474996,189,71.18,383,50.65,194
2,2.4,20,200,1,55,65,20,1.0,-0.1558,run_backtest,0.470505,188,71.13,379,50.4,191
0,2.4,20,200,1,60,60,20,1.0,-0.2085,run_backtest,0.358106,199,71.96,412,51.7,213
0,2.4,20,200,1,55,60,20,1.0,-0.2107,run_backtest,0.357807,198,71.9,408,51.47,210
0,2.4,20,100,1,60,60,20,0.75,-0.3478,run_backtest,0.338592,140,69.43,289,51.56,149
0,2.4,20,100,1,55,60,20,0.75,-0.353,run_backtest,0.33831,139,69.45,285,51.23,146
0,2.4,20,200,1,60,65,20,1.0,-0.223,run_backtest,0.337084,205,75.79,409,49.88,204
2,2.4,20,100,1,60,60,20,0.75,-0.3574,run_backtest,0.335588,138,69.7,284,51.41,146
2,2.4,20,100,1,55,60,20,0.75,-0.3629,run_backtest,0.335308,137,69.72,280,51.07,143
0,2.4,20,200,1,55,65,20,1.0,-0.2276,run_backtest,0.333897,204,75.75,405,49.63,201
2,2.4,14,100,1,60,60,20,1.0,-0.3929,run_backtest,0.330103,127,69.62,260,51.15,133
2,2.4,14,100,1,55,60,20,1.0,-0.4148,run_backtest,0.323716,125,70.19,251,50.2,126
2,2.4,14,100,1,60,65,20,1.0,-0.4074,run_backtest,0.316572,130,71.73,260,50.0,130
2,2.4,14,100,1,55,65,20,1.0,-0.4251,run_backtest,0.314402,128,71.79,251,49.0,123
2,2.4,12,200,1,55,65,20,1.0,-0.2704,run_backtest,0.314132,191,75.02,376,49.2,185
0,2.4,14,100,1,60,60,20,1.0,-0.403,run_backtest,0.313336,131,71.16,266,50.75,135
0,2.4,14,100,1,55,60,20,1.0,-0.4247,run_backtest,0.307273,129,71.7,257,49.81,128
2,2.4,12,200,1,60,65,20,1.0,-0.2705,run_backtest,0.306962,194,75.87,384,49.48,190
0,2.4,14,100,1,60,65,20,1.0,-0.4172,run_backtest,0.300492,134,73.17,266,49.62,132
0,2.4,14,100,1,55,65,20,1.0,-0.4348,run_backtest,0.298433,132,73.23,257,48.64,125
0,2.4,20,100,1,60,65,20,0.75,-0.3931,run_backtest,0.297691,148,73.35,287,48.43,139
0,2.4,20,100,1,55,65,20,0.75,-0.4021,run_backtest,0.294877,147,73.6,283,48.06,136
2,2.4,12,200,1,60,60,20,1.0,-0.2857,run_backtest,0.291702,192,74.37,384,50.0,192
2,2.4,12,200,1,55,60,20,1.0,-0.2951,run_backtest,0.288104,189,74.62,376,49.73,187
2,2.4,20,100,1,60,65,20,0.75,-0.4173,run_backtest,0.28528,146,74.46,281,48.04,135
2,2.4,20,100,1,55,65,20,0.75,-0.4268,run_backtest,0.282583,145,74.7,277,47.65,132
2,2.4,12,100,1,55,60,20,0.75,-0.4008,run_backtest,0.271243,155,74.71,302,48.68,147
2,2.4,12,100,1,60,60,20,0.75,-0.3919,run_backtest,0.267853,160,74.98,312,48.72,152
2,2.4,12,100,1,55,65,20,0.75,-0.4055,run_backtest,0.266622,162,75.38,301,46.18,139
0,2.2,20,100,1,60,60,20,1.0,-0.4287,run_backtest,0.262576,149,75.53,291,48.8,142
0,2.2,20,100,1,55,60,20,1.0,-0.4381,run_backtest,0.261153,148,75.66,286,48.25,138
2,2.2,20,100,1,60,60,20,1.0,-0.4596,run_backtest,0.25812,144,75.94,276,47.83,132
0,2.4,12,100,1,55,60,20,0.75,-0.4123,run_backtest,0.257364,158,76.0,306,48.37,148
2,2.2,20,100,1,55,60,20,1.0,-0.4701,run_backtest,0.256721,143,76.08,271,47.23,128
0,2.4,12,100,1,60,60,20,0.75,-0.4031,run_backtest,0.254147,163,76.26,316,48.42,153
2,2.4,12,100,1,60,65,20,0.75,-0.4076,run_backtest,0.254106,167,76.47,311,46.3,144
0,2.4,12,100,1,55,65,20,0.75,-0.4285,run_backtest,0.242926,166,77.57,306,45.75,140
0,2.4,12,200,1,55,65,20,1.0,-0.3273,run_backtest,0.239049,203,79.56,392,48.21,189
0,2.4,12,200,1,60,65,20,1.0,-0.3263,run_backtest,0.233592,206,80.26,400,48.5,194
0,2.4,12,100,1,60,65,20,0.75,-0.4298,run_backtest,0.231523,171,78.56,316,45.89,145
