ATR_PERIOD,ATR_STOP_MULT,ATR_TP_MULT,BB_COOLDOWN_BARS,BB_K,BB_PERIOD,EMA_TREND_N,FEE_BPS,REQUIRE_TREND,RSI_BUY_MAX,RSI_SELL_MIN,SLIP_BPS,VOL_MA_N,VOL_MULT,avg_trade_ret_pct,entry_func,equity_multiple,losses,max_drawdown_pct,trades,win_rate_pct,wins
14,2.0,1.0,2,2.4,20,100,5.0,1,60,60,5.0,20,1.0,-0.2328,run_backtest,0.595924,70,44.17,201,65.17,131
14,2.0,1.0,2,2.4,20,100,5.0,1,60,60,12.5,20,1.0,-0.2328,run_backtest,0.595924,70,44.17,201,65.17,131
14,2.0,1.0,2,2.4,20,100,12.5,1,60,60,5.0,20,1.0,-0.2328,run_backtest,0.595924,70,44.17,201,65.17,131
14,2.0,1.0,2,2.4,20,100,12.5,1,60,60,12.5,20,1.0,-0.2328,run_backtest,0.595924,70,44.17,201,65.17,131
14,2.0,1.5,2,2.4,20,100,5.0,1,60,60,5.0,20,1.0,-0.2488,run_backtest,0.572786,73,46.22,199,63.32,126
14,2.0,1.5,2,2.4,20,100,5.0,1,60,60,12.5,20,1.0,-0.2488,run_backtest,0.572786,73,46.22,199,63.32,126
14,2.0,1.5,2,2.4,20,100,12.5,1,60,60,5.0,20,1.0,-0.2488,run_backtest,0.572786,73,46.22,199,63.32,126
14,2.0,1.5,2,2.4,20,100,12.5,1,60,60,12.5,20,1.0,-0.2488,run_backtest,0.572786,73,46.22,199,63.32,126
14,2.0,2.0,2,2.4,20,100,5.0,1,60,60,5.0,20,1.0,-0.2448,run_backtest,0.570927,79,47.92,199,60.3,120
14,2.0,2.0,2,2.4,20,100,5.0,1,60,60,12.5,20,1.0,-0.2448,run_backtest,0.570927,79,47.92,199,60.3,120
14,2.0,2.0,2,2.4,20,100,12.5,1,60,60,5.0,20,1.0,-0.2448,run_backtest,0.570927,79,47.92,199,60.3,120
14,2.0,2.0,2,2.4,20,100,12.5,1,60,60,12.5,20,1.0,-0.2448,run_backtest,0.570927,79,47.92,199,60.3,120
14,1.5,2.0,2,2.4,20,100,5.0,1,60,60,5.0,20,1.0,-0.2688,run_backtest,0.550827,92,49.64,199,53.77,107
14,1.5,2.0,2,2.4,20,100,5.0,1,60,60,12.5,20,1.0,-0.2688,run_backtest,0.550827,92,49.64,199,53.77,107
14,1.5,2.0,2,2.4,20,100,12.5,1,60,60,5.0,20,1.0,-0.2688,run_backtest,0.550827,92,49.64,199,53.77,107
14,1.5,2.0,2,2.4,20,100,12.5,1,60,60,12.5,20,1.0,-0.2688,run_backtest,0.550827,92,49.64,199,53.77,107
14,1.5,1.5,2,2.4,20,100,5.0,1,60,60,5.0,20,1.0,-0.2946,run_backtest,0.527881,86,50.97,199,56.78,113
14,1.5,1.5,2,2.4,20,100,5.0,1,60,60,12.5,20,1.0,-0.2946,run_backtest,0.527881,86,50.97,199,56.78,113
14,1.5,1.5,2,2.4,20,100,12.5,1,60,60,5.0,20,1.0,-0.2946,run_backtest,0.527881,86,50.97,199,56.78,113
14,1.5,1.5,2,2.4,20,100,12.5,1,60,60,12.5,20,1.0,-0.2946,run_backtest,0.527881,86,50.97,199,56.78,113
14,1.5,1.0,2,2.4,20,100,5.0,1,60,60,5.0,20,1.0,-0.3105,run_backtest,0.512966,82,51.82,201,59.2,119
14,1.5,1.0,2,2.4,20,100,5.0,1,60,60,12.5,20,1.0,-0.3105,run_backtest,0.512966,82,51.82,201,59.2,119
14,1.5,1.0,2,2.4,20,100,12.5,1,60,60,5.0,20,1.0,-0.3105,run_backtest,0.512966,82,51.82,201,59.2,119
14,1.5,1.0,2,2.4,20,100,12.5,1,60,60,12.5,20,1.0,-0.3105,run_backtest,0.512966,82,51.82,201,59.2,119
14,1.0,1.0,2,2.4,20,100,5.0,1,60,60,5.0,20,1.0,-0.4146,run_backtest,0.418472,102,59.0,201,49.25,99
14,1.0,1.0,2,2.4,20,100,5.0,1,60,60,12.5,20,1.0,-0.4146,run_backtest,0.418472,102,59.0,201,49.25,99
14,1.0,1.0,2,2.4,20,100,12.5,1,60,60,5.0,20,1.0,-0.4146,run_backtest,0.418472,102,59.0,201,49.25,99
14,1.0,1.0,2,2.4,20,100,12.5,1,60,60,12.5,20,1.0,-0.4146,run_backtest,0.418472,102,59.0,201,49.25,99
14,1.0,1.5,2,2.4,20,100,5.0,1,60,60,5.0,20,1.0,-0.4583,run_backtest,0.384049,110,62.57,199,44.72,89
14,1.0,1.5,2,2.4,20,100,5.0,1,60,60,12.5,20,1.0,-0.4583,run_backtest,0.384049,110,62.57,199,44.72,89
14,1.0,1.5,2,2.4,20,100,12.5,1,60,60,5.0,20,1.0,-0.4583,run_backtest,0.384049,110,62.57,199,44.72,89
14,1.0,1.5,2,2.4,20,100,12.5,1,60,60,12.5,20,1.0,-0.4583,run_backtest,0.384049,110,62.57,199,44.72,89
14,1.0,2.0,2,2.4,20,100,5.0,1,60,60,5.0,20,1.0,-0.4653,run_backtest,0.376128,118,64.46,199,40.7,81
14,1.0,2.0,2,2.4,20,100,5.0,1,60,60,12.5,20,1.0,-0.4653,run_backtest,0.376128,118,64.46,199,40.7,81
14,1.0,2.0,2,2.4,20,100,12.5,1,60,60,5.0,20,1.0,-0.4653,run_backtest,0.376128,118,64.46,199,40.7,81
14,1.0,2.0,2,2.4,20,100,12.5,1,60,60,12.5,20,1.0,-0.4653,run_backtest,0.376128,118,64.46,199,40.7,81
