BB_K,BB_PERIOD,avg_trade_ret_pct,bb_k,bb_period,equity_multiple,interval,losses,max_drawdown_pct,note,open_position_ret_pct,symbol,trades,win_rate_pct,wins
3.0,16,0.0459,3.0,16,1.089084,15m,239,38.85,TV-style BB mean reversion,,SOLUSDT,532,55.08,293
2.4,20,0.0224,2.4,20,0.878154,15m,975,95.51,TV-style BB mean reversion,-0.7278,SOLUSDT,2294,57.5,1319
3.0,12,-0.1022,3.0,12,0.824935,15m,76,32.71,TV-style BB mean reversion,,SOLUSDT,160,52.5,84
2.6,16,0.009,2.6,16,0.750075,15m,770,85.39,TV-style BB mean reversion,,SOLUSDT,1714,55.08,944
2.6,20,-0.0017,2.6,20,0.60186,15m,755,91.9,TV-style BB mean reversion,-0.7278,SOLUSDT,1742,56.66,987
3.0,20,-0.0446,3.0,20,0.584166,15m,364,73.27,TV-style BB mean reversion,-0.7278,SOLUSDT,778,53.21,414
2.4,16,-0.0067,2.4,16,0.462718,15m,1078,93.57,TV-style BB mean reversion,,SOLUSDT,2442,55.86,1364
2.2,20,-0.0055,2.2,20,0.392695,15m,1218,97.6,TV-style BB mean reversion,-0.2742,SOLUSDT,2866,57.5,1648
2.6,12,-0.0972,2.6,12,0.231545,15m,567,87.92,TV-style BB mean reversion,,SOLUSDT,1207,53.02,640
2.0,20,-0.0169,2.0,20,0.231271,15m,1445,98.22,TV-style BB mean reversion,-0.2742,SOLUSDT,3395,57.44,1950
2.2,16,-0.0291,2.2,16,0.180534,15m,1413,97.24,TV-style BB mean reversion,,SOLUSDT,3231,56.27,1818
2.4,12,-0.1002,2.4,12,0.065616,15m,1059,96.26,TV-style BB mean reversion,,SOLUSDT,2257,53.08,1198
1.8,20,-0.051,1.8,20,0.053688,15m,1683,99.4,TV-style BB mean reversion,-0.2742,SOLUSDT,3845,56.23,2162
2.0,16,-0.0601,2.0,16,0.03687,15m,1762,99.46,TV-style BB mean reversion,,SOLUSDT,3968,55.59,2206
2.2,12,-0.0904,2.2,12,0.022033,15m,1608,99.23,TV-style BB mean reversion,,SOLUSDT,3453,53.43,1845
2.0,12,-0.0837,2.0,12,0.008503,15m,2134,99.82,TV-style BB mean reversion,,SOLUSDT,4655,54.16,2521
1.8,16,-0.096,1.8,16,0.004414,15m,2047,99.86,TV-style BB mean reversion,,SOLUSDT,4581,55.32,2534
1.8,12,-0.0945,1.8,12,0.001802,15m,2603,99.91,TV-style BB mean reversion,,SOLUSDT,5627,53.74,3024
