BB_K,BB_PERIOD,COOLDOWN,EMA_TREND_N,REQUIRE_TREND,VOL_MULT,atr_period,atr_stop_mult,atr_tp_mult,avg_trade_ret_pct,bars,bb_k,bb_period,ema_trend_n,equity_multiple,fee_bps_per_side,interval,losses,max_drawdown_pct,month_trend,month_vol,note,open_position_ret_pct,require_trend,rsi_buy_max,rsi_period,rsi_sell_min,slip_bps_per_side,symbol,trades,vol_ma_n,vol_mult,win_rate_pct,wins,ym
2.4,20,2,100,1,1.0,14,1.5,2.0,-0.3568,1992,2.2,20,200,0.903434,12.5,15m,13,22.97,0.4984994471647448,0.013590803440041727,LIMIT clamped to 1000 on Binance public API,,0,60.0,14,60.0,12.5,SOLUSDT,24,20,0.85,45.83,11,2020-08
2.4,20,2,100,1,1.0,14,1.5,2.0,-0.4559,2880,2.2,20,200,0.792952,12.5,15m,21,29.05,-0.36427082190277627,0.013585246656827959,LIMIT clamped to 1000 on Binance public API,,0,60.0,14,60.0,12.5,SOLUSDT,40,20,0.85,47.5,19,2020-09
2.4,20,2,100,1,1.0,14,1.5,2.0,-1.1066,2976,2.2,20,200,0.69479,12.5,15m,22,34.37,-0.46528879994479333,0.006727781195652296,LIMIT clamped to 1000 on Binance public API,,0,60.0,14,60.0,12.5,SOLUSDT,32,20,0.85,31.25,10,2020-10
2.4,20,2,100,1,1.0,14,1.5,2.0,-0.8953,2876,2.2,20,200,0.691654,12.5,15m,22,35.05,0.2549457562220805,0.009987488301279763,LIMIT clamped to 1000 on Binance public API,,0,60.0,14,60.0,12.5,SOLUSDT,38,20,0.85,42.11,16,2020-11
2.4,20,2,100,1,1.0,14,1.5,2.0,-0.1416,2956,2.2,20,200,0.916318,12.5,15m,24,21.26,-0.2293967280163599,0.007403325636445135,LIMIT clamped to 1000 on Binance public API,,0,60.0,14,60.0,12.5,SOLUSDT,49,20,0.85,51.02,25,2020-12
2.4,20,2,100,1,1.0,14,1.5,2.0,-0.4749,2976,2.2,20,200,0.765028,12.5,15m,21,34.5,1.8300945028617068,0.013361261973113804,LIMIT clamped to 1000 on Binance public API,,0,60.0,14,60.0,12.5,SOLUSDT,44,20,0.85,52.27,23,2021-01
2.4,20,2,100,1,1.0,14,1.5,2.0,-0.3648,2683,2.2,20,200,0.835522,12.5,15m,20,30.23,2.135393460294646,0.010778816084128326,LIMIT clamped to 1000 on Binance public API,,0,60.0,14,60.0,12.5,SOLUSDT,40,20,0.85,50.0,20,2021-02
2.4,20,2,100,1,1.0,14,1.5,2.0,-0.3307,2970,2.2,20,200,0.870122,12.5,15m,20,27.88,0.47024784613517756,0.006150008114067502,LIMIT clamped to 1000 on Binance public API,,0,60.0,14,60.0,12.5,SOLUSDT,39,20,0.85,48.72,19,2021-03
2.4,20,2,100,1,1.0,14,1.5,2.0,0.8922,2852,2.2,20,200,1.418436,12.5,15m,19,19.57,1.2079450103724807,0.010832294760151878,LIMIT clamped to 1000 on Binance public API,,0,60.0,14,60.0,12.5,SOLUSDT,44,20,0.85,56.82,25,2021-04
2.4,20,2,100,1,1.0,14,1.5,2.0,-0.4308,2976,2.2,20,200,0.717364,12.5,15m,25,43.57,-0.22726629229389828,0.014343862113509857,LIMIT clamped to 1000 on Binance public API,,0,60.0,14,60.0,12.5,SOLUSDT,49,20,0.85,48.98,24,2021-05
2.4,20,2,100,1,1.0,14,1.5,2.0,-0.976,2880,2.2,20,200,0.625111,12.5,15m,25,39.93,0.0888296078251003,0.010299337757566482,LIMIT clamped to 1000 on Binance public API,,0,60.0,14,60.0,12.5,SOLUSDT,45,20,0.85,44.44,20,2021-06
2.4,20,2,100,1,1.0,14,1.5,2.0,-0.4963,2976,2.2,20,200,0.828476,12.5,15m,20,21.87,0.043389368468877754,0.006420025194283431,LIMIT clamped to 1000 on Binance public API,,0,60.0,14,60.0,12.5,SOLUSDT,36,20,0.85,44.44,16,2021-07
2.4,20,2,100,1,1.0,14,1.5,2.0,-0.3667,2958,2.2,20,200,0.878234,12.5,15m,15,17.28,2.024132730015083,0.008882171618538845,LIMIT clamped to 1000 on Binance public API,2.6978,0,60.0,14,60.0,12.5,SOLUSDT,31,20,0.85,51.61,16,2021-08
2.4,20,2,100,1,1.0,14,1.5,2.0,-0.5457,2872,2.2,20,200,0.698146,12.5,15m,35,43.48,0.306561922365989,0.010178358894195357,LIMIT clamped to 1000 on Binance public API,,0,60.0,14,60.0,12.5,SOLUSDT,57,20,0.85,38.6,22,2021-09
2.4,20,2,100,1,1.0,14,1.5,2.0,-0.4045,2976,2.2,20,200,0.831819,12.5,15m,23,22.54,0.42940844275024714,0.006383716850173168,LIMIT clamped to 1000 on Binance public API,,0,60.0,14,60.0,12.5,SOLUSDT,43,20,0.85,46.51,20,2021-10
2.4,20,2,100,1,1.0,14,1.5,2.0,-0.5841,2880,2.2,20,200,0.707468,12.5,15m,32,31.52,0.014103000534941401,0.005988289238503806,LIMIT clamped to 1000 on Binance public API,,0,60.0,14,60.0,12.5,SOLUSDT,57,20,0.85,43.86,25,2021-11
2.4,20,2,100,1,1.0,14,1.5,2.0,-0.6127,2976,2.2,20,200,0.717821,12.5,15m,29,28.22,-0.19187069170430227,0.006305555959792856,LIMIT clamped to 1000 on Binance public API,,0,60.0,14,60.0,12.5,SOLUSDT,52,20,0.85,44.23,23,2021-12
2.4,20,2,100,1,1.0,14,1.5,2.0,-0.8674,2976,2.2,20,200,0.624011,12.5,15m,30,38.35,-0.4176763242610477,0.007020735334364278,LIMIT clamped to 1000 on Binance public API,,0,60.0,14,60.0,12.5,SOLUSDT,52,20,0.85,42.31,22,2022-01
2.4,20,2,100,1,1.0,14,1.5,2.0,0.0479,2688,2.2,20,200,1.012299,12.5,15m,19,18.23,-0.00419580419580412,0.0065119433705648775,LIMIT clamped to 1000 on Binance public API,,0,60.0,14,60.0,12.5,SOLUSDT,47,20,0.85,59.57,28,2022-02
2.4,20,2,100,1,1.0,14,1.5,2.0,-0.0458,2976,2.2,20,200,0.974823,12.5,15m,18,12.3,0.2212274942803143,0.004825350730343786,LIMIT clamped to 1000 on Binance public API,,0,60.0,14,60.0,12.5,SOLUSDT,43,20,0.85,58.14,25,2022-03
2.4,20,2,100,1,1.0,14,1.5,2.0,-0.8886,2880,2.2,20,200,0.606737,12.5,15m,34,39.33,-0.3193662538201706,0.0048628292064368,LIMIT clamped to 1000 on Binance public API,-0.4635,0,60.0,14,60.0,12.5,SOLUSDT,55,20,0.85,38.18,21,2022-04
2.4,20,2,100,1,1.0,14,1.5,2.0,-0.9151,2976,2.2,20,200,0.589036,12.5,15m,32,44.61,-0.4612758945386063,0.009679027929344474,LIMIT clamped to 1000 on Binance public API,0.7115,0,60.0,14,60.0,12.5,SOLUSDT,54,20,0.85,40.74,22,2022-05
2.4,20,2,100,1,1.0,14,1.5,2.0,-0.5203,2880,2.2,20,200,0.773376,12.5,15m,25,27.89,-0.2589991220368746,0.008488280155500386,LIMIT clamped to 1000 on Binance public API,,0,60.0,14,60.0,12.5,SOLUSDT,45,20,0.85,44.44,20,2022-06
2.4,20,2,100,1,1.0,14,1.5,2.0,-0.147,2976,2.2,20,200,0.926573,12.5,15m,20,12.48,0.25929229854296754,0.005963440839052685,LIMIT clamped to 1000 on Binance public API,,0,60.0,14,60.0,12.5,SOLUSDT,45,20,0.85,55.56,25,2022-07
2.4,20,2,100,1,1.0,14,1.5,2.0,-0.5509,2976,2.2,20,200,0.753151,12.5,15m,26,28.47,-0.2577756833176248,0.00481516491246733,LIMIT clamped to 1000 on Binance public API,-0.4988,0,60.0,14,60.0,12.5,SOLUSDT,50,20,0.85,48.0,24,2022-08
2.4,20,2,100,1,1.0,14,1.5,2.0,-0.2966,2880,2.2,20,200,0.86909,12.5,15m,20,18.26,0.04856512141280356,0.004723612013466171,LIMIT clamped to 1000 on Binance public API,,0,60.0,14,60.0,12.5,SOLUSDT,45,20,0.85,55.56,25,2022-09
2.4,20,2,100,1,1.0,14,1.5,2.0,-0.7218,2976,2.2,20,200,0.723654,12.5,15m,29,27.85,-0.01661129568106301,0.003619918132795004,LIMIT clamped to 1000 on Binance public API,0.0544,0,60.0,14,60.0,12.5,SOLUSDT,44,20,0.85,34.09,15,2022-10
2.4,20,2,100,1,1.0,14,1.5,2.0,-0.3123,2880,2.2,20,200,0.774805,12.5,15m,30,37.1,-0.5663093415007656,0.01189850493341658,LIMIT clamped to 1000 on Binance public API,,0,60.0,14,60.0,12.5,SOLUSDT,57,20,0.85,47.37,27,2022-11
