BB_COOLDOWN_BARS,BB_K,EMA_TREND_N,FEE_BPS,REQUIRE_TREND,RSI_BUY_MAX,RSI_SELL_MIN,SLIP_BPS,VOL_MA_N,VOL_MULT,avg_trade_ret_pct,entry_func,equity_multiple,losses,max_drawdown_pct,trades,win_rate_pct,wins
0,1.8,20,12.5,0,55,55,12.5,20,0.75,-0.4105,run_backtest,0.912579,13,9.59,22,40.91,9
0,1.8,20,12.5,0,60,55,12.5,20,0.75,-0.4105,run_backtest,0.912579,13,9.59,22,40.91,9
0,1.8,20,12.5,0,55,65,12.5,20,0.75,-0.4251,run_backtest,0.90955,13,9.37,22,40.91,9
0,1.8,20,12.5,0,60,65,12.5,20,0.75,-0.4251,run_backtest,0.90955,13,9.37,22,40.91,9
0,1.8,20,12.5,0,55,60,12.5,20,0.75,-0.4348,run_backtest,0.907616,13,9.37,22,40.91,9
0,1.8,20,12.5,0,60,60,12.5,20,0.75,-0.4348,run_backtest,0.907616,13,9.37,22,40.91,9
0,1.9,20,12.5,0,55,55,12.5,20,0.75,-0.3552,run_backtest,0.927074,12,8.13,21,42.86,9
0,1.9,20,12.5,0,60,55,12.5,20,0.75,-0.3552,run_backtest,0.927074,12,8.13,21,42.86,9
2,1.8,20,12.5,0,55,55,12.5,20,0.75,-0.3699,run_backtest,0.924237,12,8.44,21,42.86,9
2,1.8,20,12.5,0,60,55,12.5,20,0.75,-0.3699,run_backtest,0.924237,12,8.44,21,42.86,9
0,1.9,20,12.5,0,55,65,12.5,20,0.75,-0.3706,run_backtest,0.923997,11,7.91,21,47.62,10
0,1.9,20,12.5,0,60,65,12.5,20,0.75,-0.3706,run_backtest,0.923997,11,7.91,21,47.62,10
0,1.9,20,12.5,0,55,60,12.5,20,0.75,-0.3807,run_backtest,0.922032,11,7.91,21,47.62,10
0,1.9,20,12.5,0,60,60,12.5,20,0.75,-0.3807,run_backtest,0.922032,11,7.91,21,47.62,10
0,1.8,20,12.5,0,50,65,12.5,20,0.75,-0.3864,run_backtest,0.920956,12,9.37,21,42.86,9
1,1.8,20,12.5,0,55,55,12.5,20,0.75,-0.3873,run_backtest,0.92084,12,8.77,21,42.86,9
1,1.8,20,12.5,0,60,55,12.5,20,0.75,-0.3873,run_backtest,0.92084,12,8.77,21,42.86,9
2,1.8,20,12.5,0,55,60,12.5,20,0.75,-0.3953,run_backtest,0.919211,12,8.48,21,42.86,9
2,1.8,20,12.5,0,55,65,12.5,20,0.75,-0.3953,run_backtest,0.919211,12,8.48,21,42.86,9
2,1.8,20,12.5,0,60,60,12.5,20,0.75,-0.3953,run_backtest,0.919211,12,8.48,21,42.86,9
2,1.8,20,12.5,0,60,65,12.5,20,0.75,-0.3953,run_backtest,0.919211,12,8.48,21,42.86,9
0,1.8,20,12.5,0,50,60,12.5,20,0.75,-0.3966,run_backtest,0.918998,12,9.37,21,42.86,9
1,1.8,20,12.5,0,55,65,12.5,20,0.75,-0.4027,run_backtest,0.917783,12,8.55,21,42.86,9
1,1.8,20,12.5,0,60,65,12.5,20,0.75,-0.4027,run_backtest,0.917783,12,8.55,21,42.86,9
1,1.8,20,12.5,0,55,60,12.5,20,0.75,-0.4128,run_backtest,0.915832,12,8.55,21,42.86,9
