equity_multiple,max_drawdown_pct,trades,win_rate_pct,BB_K,BB_PERIOD,RSI_BUY_MAX,RSI_SELL_MIN,ATR_STOP_MULT,ATR_TP_MULT
0.318656,185.51,6,0.0,3.0,12,50,65,1.4,2.5
0.318656,185.51,6,0.0,3.0,12,50,65,1.5,2.5
0.318656,185.51,6,0.0,3.0,12,50,65,1.6,2.5
0.318656,185.51,6,0.0,3.0,12,50,65,1.8,2.5
0.318656,185.51,6,0.0,3.0,12,55,65,1.4,2.5
0.318656,185.51,6,0.0,3.0,12,55,65,1.5,2.5
0.318656,185.51,6,0.0,3.0,12,55,65,1.6,2.5
0.318656,185.51,6,0.0,3.0,12,55,65,1.8,2.5
0.318656,185.51,6,0.0,3.0,12,60,65,1.4,2.5
0.318656,185.51,6,0.0,3.0,12,60,65,1.5,2.5
0.318656,185.51,6,0.0,3.0,12,60,65,1.6,2.5
0.318656,185.51,6,0.0,3.0,12,60,65,1.8,2.5
0.318656,185.51,6,0.0,3.0,12,65,65,1.4,2.5
0.318656,185.51,6,0.0,3.0,12,65,65,1.5,2.5
0.318656,185.51,6,0.0,3.0,12,65,65,1.6,2.5
0.318656,185.51,6,0.0,3.0,12,65,65,1.8,2.5
0.312822,185.18,6,0.0,3.0,12,50,65,1.4,2.2
0.312822,185.18,6,0.0,3.0,12,50,65,1.5,2.2
0.312822,185.18,6,0.0,3.0,12,50,65,1.6,2.2
0.312822,185.18,6,0.0,3.0,12,50,65,1.8,2.2
0.312822,185.18,6,0.0,3.0,12,55,65,1.4,2.2
0.312822,185.18,6,0.0,3.0,12,55,65,1.5,2.2
0.312822,185.18,6,0.0,3.0,12,55,65,1.6,2.2
0.312822,185.18,6,0.0,3.0,12,55,65,1.8,2.2
0.312822,185.18,6,0.0,3.0,12,60,65,1.4,2.2
0.312822,185.18,6,0.0,3.0,12,60,65,1.5,2.2
0.312822,185.18,6,0.0,3.0,12,60,65,1.6,2.2
0.312822,185.18,6,0.0,3.0,12,60,65,1.8,2.2
0.312822,185.18,6,0.0,3.0,12,65,65,1.4,2.2
0.312822,185.18,6,0.0,3.0,12,65,65,1.5,2.2
0.312822,185.18,6,0.0,3.0,12,65,65,1.6,2.2
0.312822,185.18,6,0.0,3.0,12,65,65,1.8,2.2
0.309404,184.77,6,0.0,3.0,12,50,65,1.4,2.0
0.309404,184.77,6,0.0,3.0,12,50,65,1.5,2.0
0.309404,184.77,6,0.0,3.0,12,50,65,1.6,2.0
0.309404,184.77,6,0.0,3.0,12,50,65,1.8,2.0
0.309404,184.77,6,0.0,3.0,12,55,65,1.4,2.0
0.309404,184.77,6,0.0,3.0,12,55,65,1.5,2.0
0.309404,184.77,6,0.0,3.0,12,55,65,1.6,2.0
0.309404,184.77,6,0.0,3.0,12,55,65,1.8,2.0
0.309404,184.77,6,0.0,3.0,12,60,65,1.4,2.0
0.309404,184.77,6,0.0,3.0,12,60,65,1.5,2.0
0.309404,184.77,6,0.0,3.0,12,60,65,1.6,2.0
0.309404,184.77,6,0.0,3.0,12,60,65,1.8,2.0
0.309404,184.77,6,0.0,3.0,12,65,65,1.4,2.0
0.309404,184.77,6,0.0,3.0,12,65,65,1.5,2.0
0.309404,184.77,6,0.0,3.0,12,65,65,1.6,2.0
0.309404,184.77,6,0.0,3.0,12,65,65,1.8,2.0
0.308447,184.51,6,0.0,3.0,12,50,65,1.4,1.8
0.308447,184.51,6,0.0,3.0,12,50,65,1.5,1.8
0.308447,184.51,6,0.0,3.0,12,50,65,1.6,1.8
0.308447,184.51,6,0.0,3.0,12,50,65,1.8,1.8
0.308447,184.51,6,0.0,3.0,12,55,65,1.4,1.8
0.308447,184.51,6,0.0,3.0,12,55,65,1.5,1.8
0.308447,184.51,6,0.0,3.0,12,55,65,1.6,1.8
0.308447,184.51,6,0.0,3.0,12,55,65,1.8,1.8
0.308447,184.51,6,0.0,3.0,12,60,65,1.4,1.8
0.308447,184.51,6,0.0,3.0,12,60,65,1.5,1.8
0.308447,184.51,6,0.0,3.0,12,60,65,1.6,1.8
0.308447,184.51,6,0.0,3.0,12,60,65,1.8,1.8
0.308447,184.51,6,0.0,3.0,12,65,65,1.4,1.8
0.308447,184.51,6,0.0,3.0,12,65,65,1.5,1.8
0.308447,184.51,6,0.0,3.0,12,65,65,1.6,1.8
0.308447,184.51,6,0.0,3.0,12,65,65,1.8,1.8
0.306757,184.51,6,0.0,3.0,12,50,60,1.4,2.2
0.306757,184.51,6,0.0,3.0,12,50,60,1.4,2.5
0.306757,184.51,6,0.0,3.0,12,50,60,1.5,2.2
0.306757,184.51,6,0.0,3.0,12,50,60,1.5,2.5
0.306757,184.51,6,0.0,3.0,12,50,60,1.6,2.2
0.306757,184.51,6,0.0,3.0,12,50,60,1.6,2.5
0.306757,184.51,6,0.0,3.0,12,50,60,1.8,2.2
0.306757,184.51,6,0.0,3.0,12,50,60,1.8,2.5
0.306757,184.51,6,0.0,3.0,12,55,60,1.4,2.2
0.306757,184.51,6,0.0,3.0,12,55,60,1.4,2.5
0.306757,184.51,6,0.0,3.0,12,55,60,1.5,2.2
0.306757,184.51,6,0.0,3.0,12,55,60,1.5,2.5
0.306757,184.51,6,0.0,3.0,12,55,60,1.6,2.2
0.306757,184.51,6,0.0,3.0,12,55,60,1.6,2.5
0.306757,184.51,6,0.0,3.0,12,55,60,1.8,2.2
0.306757,184.51,6,0.0,3.0,12,55,60,1.8,2.5
0.306757,184.51,6,0.0,3.0,12,60,60,1.4,2.2
0.306757,184.51,6,0.0,3.0,12,60,60,1.4,2.5
0.306757,184.51,6,0.0,3.0,12,60,60,1.5,2.2
0.306757,184.51,6,0.0,3.0,12,60,60,1.5,2.5
0.306757,184.51,6,0.0,3.0,12,60,60,1.6,2.2
0.306757,184.51,6,0.0,3.0,12,60,60,1.6,2.5
0.306757,184.51,6,0.0,3.0,12,60,60,1.8,2.2
0.306757,184.51,6,0.0,3.0,12,60,60,1.8,2.5
0.306757,184.51,6,0.0,3.0,12,65,60,1.4,2.2
0.306757,184.51,6,0.0,3.0,12,65,60,1.4,2.5
0.306757,184.51,6,0.0,3.0,12,65,60,1.5,2.2
0.306757,184.51,6,0.0,3.0,12,65,60,1.5,2.5
0.306757,184.51,6,0.0,3.0,12,65,60,1.6,2.2
0.306757,184.51,6,0.0,3.0,12,65,60,1.6,2.5
0.306757,184.51,6,0.0,3.0,12,65,60,1.8,2.2
0.306757,184.51,6,0.0,3.0,12,65,60,1.8,2.5
0.304867,184.51,6,0.0,3.0,12,50,60,1.4,1.8
0.304867,184.51,6,0.0,3.0,12,50,60,1.4,2.0
0.304867,184.51,6,0.0,3.0,12,50,60,1.5,1.8
0.304867,184.51,6,0.0,3.0,12,50,60,1.5,2.0
0.304867,184.51,6,0.0,3.0,12,50,60,1.6,1.8
0.304867,184.51,6,0.0,3.0,12,50,60,1.6,2.0
0.304867,184.51,6,0.0,3.0,12,50,60,1.8,1.8
0.304867,184.51,6,0.0,3.0,12,50,60,1.8,2.0
0.304867,184.51,6,0.0,3.0,12,55,60,1.4,1.8
0.304867,184.51,6,0.0,3.0,12,55,60,1.4,2.0
0.304867,184.51,6,0.0,3.0,12,55,60,1.5,1.8
0.304867,184.51,6,0.0,3.0,12,55,60,1.5,2.0
0.304867,184.51,6,0.0,3.0,12,55,60,1.6,1.8
0.304867,184.51,6,0.0,3.0,12,55,60,1.6,2.0
0.304867,184.51,6,0.0,3.0,12,55,60,1.8,1.8
0.304867,184.51,6,0.0,3.0,12,55,60,1.8,2.0
0.304867,184.51,6,0.0,3.0,12,60,60,1.4,1.8
0.304867,184.51,6,0.0,3.0,12,60,60,1.4,2.0
0.304867,184.51,6,0.0,3.0,12,60,60,1.5,1.8
0.304867,184.51,6,0.0,3.0,12,60,60,1.5,2.0
0.304867,184.51,6,0.0,3.0,12,60,60,1.6,1.8
0.304867,184.51,6,0.0,3.0,12,60,60,1.6,2.0
0.304867,184.51,6,0.0,3.0,12,60,60,1.8,1.8
0.304867,184.51,6,0.0,3.0,12,60,60,1.8,2.0
0.304867,184.51,6,0.0,3.0,12,65,60,1.4,1.8
0.304867,184.51,6,0.0,3.0,12,65,60,1.4,2.0
0.304867,184.51,6,0.0,3.0,12,65,60,1.5,1.8
0.304867,184.51,6,0.0,3.0,12,65,60,1.5,2.0
0.304867,184.51,6,0.0,3.0,12,65,60,1.6,1.8
0.304867,184.51,6,0.0,3.0,12,65,60,1.6,2.0
0.304867,184.51,6,0.0,3.0,12,65,60,1.8,1.8
0.304867,184.51,6,0.0,3.0,12,65,60,1.8,2.0
0.298313,183.38,6,0.0,3.0,12,50,55,1.4,1.8
0.298313,183.38,6,0.0,3.0,12,50,55,1.4,2.0
0.298313,183.38,6,0.0,3.0,12,50,55,1.4,2.2
0.298313,183.38,6,0.0,3.0,12,50,55,1.4,2.5
0.298313,183.38,6,0.0,3.0,12,50,55,1.5,1.8
0.298313,183.38,6,0.0,3.0,12,50,55,1.5,2.0
0.298313,183.38,6,0.0,3.0,12,50,55,1.5,2.2
0.298313,183.38,6,0.0,3.0,12,50,55,1.5,2.5
0.298313,183.38,6,0.0,3.0,12,50,55,1.6,1.8
0.298313,183.38,6,0.0,3.0,12,50,55,1.6,2.0
0.298313,183.38,6,0.0,3.0,12,50,55,1.6,2.2
0.298313,183.38,6,0.0,3.0,12,50,55,1.6,2.5
0.298313,183.38,6,0.0,3.0,12,50,55,1.8,1.8
0.298313,183.38,6,0.0,3.0,12,50,55,1.8,2.0
0.298313,183.38,6,0.0,3.0,12,50,55,1.8,2.2
0.298313,183.38,6,0.0,3.0,12,50,55,1.8,2.5
0.298313,183.38,6,0.0,3.0,12,55,55,1.4,1.8
0.298313,183.38,6,0.0,3.0,12,55,55,1.4,2.0
0.298313,183.38,6,0.0,3.0,12,55,55,1.4,2.2
0.298313,183.38,6,0.0,3.0,12,55,55,1.4,2.5
0.298313,183.38,6,0.0,3.0,12,55,55,1.5,1.8
0.298313,183.38,6,0.0,3.0,12,55,55,1.5,2.0
0.298313,183.38,6,0.0,3.0,12,55,55,1.5,2.2
0.298313,183.38,6,0.0,3.0,12,55,55,1.5,2.5
0.298313,183.38,6,0.0,3.0,12,55,55,1.6,1.8
0.298313,183.38,6,0.0,3.0,12,55,55,1.6,2.0
0.298313,183.38,6,0.0,3.0,12,55,55,1.6,2.2
0.298313,183.38,6,0.0,3.0,12,55,55,1.6,2.5
0.298313,183.38,6,0.0,3.0,12,55,55,1.8,1.8
0.298313,183.38,6,0.0,3.0,12,55,55,1.8,2.0
0.298313,183.38,6,0.0,3.0,12,55,55,1.8,2.2
0.298313,183.38,6,0.0,3.0,12,55,55,1.8,2.5
0.298313,183.38,6,0.0,3.0,12,60,55,1.4,1.8
0.298313,183.38,6,0.0,3.0,12,60,55,1.4,2.0
