time,open,high,low,close,volume
1751857200,152.04000000,152.90000000,151.78000000,151.86000000,47226.86600000
1751860800,151.86000000,152.16000000,151.75000000,151.77000000,23434.26300000
1751864400,151.77000000,152.14000000,151.55000000,151.93000000,41855.66900000
1751868000,151.93000000,152.00000000,151.02000000,151.21000000,73865.66100000
1751871600,151.21000000,152.45000000,150.89000000,152.38000000,113005.74200000
1751875200,152.37000000,152.96000000,152.24000000,152.67000000,68716.01200000
1751878800,152.66000000,152.66000000,152.05000000,152.17000000,37897.78700000
1751882400,152.17000000,152.50000000,151.65000000,152.26000000,46647.75300000
1751886000,152.27000000,153.60000000,152.15000000,152.78000000,110464.20500000
1751889600,152.79000000,152.86000000,151.42000000,151.69000000,74919.34400000
1751893200,151.69000000,153.43000000,151.20000000,153.07000000,122114.80200000
1751896800,153.07000000,153.34000000,151.59000000,151.68000000,127809.75200000
1751900400,151.68000000,152.38000000,151.02000000,151.07000000,95525.85200000
1751904000,151.07000000,151.59000000,149.69000000,150.35000000,159766.30100000
1751907600,150.36000000,150.85000000,149.63000000,149.99000000,136041.99400000
1751911200,149.98000000,150.33000000,149.04000000,150.13000000,85103.39300000
1751914800,150.12000000,151.07000000,148.63000000,148.97000000,181032.98300000
1751918400,148.96000000,148.96000000,147.77000000,148.36000000,146199.77100000
1751922000,148.36000000,148.82000000,147.76000000,148.60000000,118247.19200000
1751925600,148.59000000,148.62000000,147.70000000,148.47000000,87123.70000000
1751929200,148.47000000,148.90000000,148.44000000,148.88000000,63457.23700000
1751932800,148.89000000,150.10000000,148.74000000,149.17000000,92012.38300000
1751936400,149.16000000,149.32000000,148.62000000,148.74000000,57585.04800000
1751940000,148.74000000,149.30000000,147.85000000,147.99000000,80349.39500000
1751943600,147.98000000,148.98000000,147.94000000,148.64000000,61776.77600000
1751947200,148.64000000,149.07000000,148.20000000,149.02000000,45050.42900000
1751950800,149.02000000,149.38000000,148.58000000,149.25000000,46233.70700000
1751954400,149.24000000,149.61000000,149.02000000,149.27000000,54645.38700000
1751958000,149.26000000,149.75000000,148.86000000,149.66000000,49561.00500000
1751961600,149.65000000,150.28000000,149.54000000,149.91000000,92266.42800000
1751965200,149.90000000,150.58000000,149.70000000,150.21000000,94792.53500000
1751968800,150.22000000,151.30000000,150.21000000,151.13000000,144495.57700000
1751972400,151.13000000,151.67000000,150.98000000,151.31000000,154306.85400000
1751976000,151.31000000,152.48000000,151.25000000,152.41000000,170486.30700000
1751979600,152.41000000,152.88000000,151.51000000,152.03000000,170129.65500000
1751983200,152.02000000,152.08000000,150.52000000,150.83000000,176128.58500000
1751986800,150.82000000,151.15000000,149.77000000,149.83000000,90115.81400000
1751990400,149.84000000,150.55000000,149.03000000,150.51000000,216422.00700000
1751994000,150.51000000,152.25000000,150.44000000,152.06000000,195047.38800000
1751997600,152.06000000,152.83000000,151.72000000,152.81000000,101182.42700000
1752001200,152.81000000,152.81000000,151.32000000,151.63000000,97381.00200000
1752004800,151.63000000,151.68000000,150.00000000,150.01000000,187150.32300000
1752008400,150.01000000,150.91000000,150.00000000,150.81000000,201646.75000000
1752012000,150.81000000,151.55000000,150.52000000,151.55000000,65038.16500000
1752015600,151.55000000,151.94000000,151.29000000,151.67000000,69065.37600000
1752019200,151.68000000,151.75000000,151.06000000,151.70000000,50013.77000000
1752022800,151.71000000,152.34000000,151.11000000,151.47000000,53448.09000000
1752026400,151.48000000,152.20000000,151.36000000,151.80000000,39666.73700000
1752030000,151.80000000,152.20000000,151.21000000,151.29000000,60521.39100000
1752033600,151.29000000,151.46000000,150.53000000,151.17000000,101194.70200000
1752037200,151.16000000,153.88000000,151.14000000,153.15000000,299902.28800000
1752040800,153.15000000,153.46000000,152.38000000,152.92000000,110220.48200000
1752044400,152.92000000,153.25000000,152.61000000,153.01000000,57167.02900000
1752048000,153.01000000,153.14000000,152.34000000,152.47000000,60968.65700000
1752051600,152.48000000,152.96000000,152.33000000,152.87000000,47742.23800000
1752055200,152.86000000,153.24000000,152.57000000,153.16000000,73882.24900000
1752058800,153.16000000,154.43000000,153.05000000,153.73000000,119093.78500000
1752062400,153.74000000,154.63000000,153.33000000,154.06000000,176954.42000000
1752066000,154.06000000,154.88000000,153.61000000,153.77000000,201902.61900000
1752069600,153.76000000,155.53000000,152.87000000,153.74000000,270411.02200000
1752073200,153.74000000,154.55000000,153.37000000,153.97000000,95647.74100000
1752076800,153.98000000,155.02000000,153.66000000,154.87000000,110205.06700000
1752080400,154.87000000,154.92000000,153.23000000,153.64000000,79735.54400000
