time,open,high,low,close,volume
1753657200,188.93000000,189.10000000,187.15000000,188.06000000,86311.25700000
1753659000,188.05000000,188.83000000,187.55000000,188.64000000,41235.53000000
1753660800,188.64000000,191.18000000,188.10000000,190.95000000,87040.42100000
1753662600,190.95000000,191.07000000,188.97000000,189.71000000,67287.48200000
1753664400,189.71000000,190.16000000,188.71000000,189.24000000,46082.20400000
1753666200,189.23000000,189.23000000,187.66000000,188.31000000,44262.51200000
1753668000,188.31000000,190.99000000,187.90000000,190.76000000,68881.35000000
1753669800,190.76000000,191.98000000,190.41000000,191.55000000,120824.15500000
1753671600,191.56000000,192.50000000,191.26000000,191.75000000,98193.04100000
1753673400,191.75000000,193.82000000,191.59000000,193.35000000,111877.61700000
1753675200,193.34000000,194.04000000,192.49000000,192.89000000,82680.73700000
1753677000,192.88000000,193.35000000,192.57000000,193.08000000,54277.93100000
1753678800,193.08000000,193.78000000,192.70000000,193.23000000,62276.58400000
1753680600,193.23000000,195.26000000,192.96000000,194.39000000,149504.97900000
1753682400,194.39000000,194.55000000,193.60000000,193.69000000,120428.07800000
1753684200,193.68000000,194.35000000,193.60000000,194.06000000,46616.02600000
1753686000,194.07000000,194.13000000,191.64000000,192.65000000,110214.12600000
1753687800,192.66000000,192.66000000,191.89000000,192.37000000,35556.38600000
1753689600,192.36000000,192.85000000,191.59000000,192.21000000,42734.17800000
1753691400,192.21000000,192.76000000,191.27000000,192.64000000,44523.24400000
1753693200,192.64000000,192.87000000,192.19000000,192.50000000,44220.09900000
1753695000,192.51000000,193.36000000,191.88000000,193.16000000,63466.66300000
1753696800,193.16000000,193.32000000,192.29000000,193.01000000,42904.66600000
1753698600,193.02000000,193.02000000,191.74000000,192.30000000,38430.79600000
1753700400,192.29000000,192.34000000,190.96000000,190.99000000,43019.59100000
1753702200,190.99000000,192.06000000,190.63000000,192.00000000,43133.91100000
1753704000,192.00000000,192.72000000,191.35000000,192.47000000,48309.72800000
1753705800,192.47000000,193.52000000,192.20000000,192.90000000,103819.46700000
1753707600,192.90000000,192.97000000,189.90000000,190.56000000,118895.35200000
1753709400,190.56000000,191.82000000,189.28000000,190.20000000,127729.89300000
1753711200,190.19000000,190.71000000,186.96000000,187.44000000,285035.85500000
1753713000,187.45000000,188.17000000,186.71000000,187.50000000,165809.39000000
1753714800,187.50000000,188.88000000,187.23000000,188.72000000,91898.45400000
1753716600,188.72000000,189.08000000,186.55000000,187.18000000,74455.15700000
1753718400,187.18000000,187.41000000,186.12000000,187.33000000,95646.07500000
1753720200,187.32000000,187.99000000,186.46000000,186.66000000,92084.22900000
1753722000,186.66000000,187.44000000,185.76000000,186.92000000,90222.04300000
1753723800,186.92000000,187.09000000,185.35000000,185.89000000,67879.36300000
1753725600,185.90000000,186.26000000,184.38000000,184.61000000,155689.58100000
1753727400,184.62000000,185.44000000,183.45000000,185.16000000,121406.96500000
1753729200,185.16000000,186.46000000,185.12000000,185.75000000,75667.33300000
1753731000,185.75000000,185.75000000,183.63000000,185.26000000,127264.40600000
1753732800,185.25000000,185.53000000,182.63000000,182.88000000,108099.48300000
1753734600,182.88000000,184.74000000,182.72000000,184.21000000,88071.37700000
1753736400,184.21000000,185.06000000,183.37000000,184.04000000,54472.02500000
1753738200,184.04000000,185.20000000,183.52000000,184.28000000,58227.94400000
1753740000,184.28000000,184.68000000,183.33000000,183.62000000,52260.41600000
1753741800,183.63000000,183.74000000,182.16000000,183.66000000,101896.30900000
1753743600,183.66000000,184.09000000,183.04000000,183.06000000,54581.71000000
1753745400,183.06000000,183.85000000,182.24000000,183.11000000,40012.79500000
1753747200,183.10000000,184.72000000,182.67000000,184.01000000,86405.19700000
1753749000,184.00000000,184.24000000,181.03000000,182.83000000,152066.11700000
1753750800,182.83000000,184.07000000,182.51000000,183.89000000,54364.20900000
1753752600,183.90000000,184.03000000,181.66000000,181.75000000,46773.01900000
1753754400,181.76000000,182.46000000,180.67000000,181.93000000,64701.59500000
1753756200,181.93000000,182.40000000,181.25000000,182.28000000,71852.74500000
1753758000,182.29000000,183.63000000,182.24000000,183.46000000,47693.32100000
1753759800,183.46000000,184.71000000,183.09000000,184.33000000,68796.40500000
1753761600,184.34000000,184.76000000,183.88000000,183.92000000,52474.97300000
1753763400,183.92000000,184.25000000,183.23000000,183.42000000,18150.55300000
1753765200,183.42000000,184.14000000,183.21000000,183.94000000,34535.75700000
1753767000,183.94000000,184.87000000,183.77000000,184.87000000,37274.77100000
1753768800,184.87000000,185.58000000,184.51000000,185.19000000,62964.69400000
1753770600,185.18000000,185.41000000,184.77000000,184.83000000,48415.08000000
1753772400,184.83000000,185.65000000,184.83000000,185.18000000,39114.89800000
1753774200,185.18000000,186.68000000,185.01000000,186.05000000,72069.78300000
1753776000,186.04000000,186.51000000,184.91000000,185.13000000,38197.39700000
1753777800,185.13000000,185.84000000,184.88000000,184.93000000,31267.21700000
1753779600,184.93000000,185.22000000,184.23000000,185.11000000,48226.65100000
1753781400,185.10000000,185.15000000,184.32000000,184.61000000,21507.49000000
1753783200,184.61000000,184.81000000,183.20000000,183.68000000,46530.45300000
1753785000,183.68000000,184.23000000,182.24000000,182.37000000,63264.82600000
1753786800,182.37000000,183.43000000,182.34000000,183.31000000,33176.35500000
1753788600,183.30000000,183.52000000,182.50000000,182.93000000,25587.91100000
1753790400,182.93000000,184.10000000,182.58000000,183.92000000,46401.98800000
1753792200,183.91000000,184.53000000,183.33000000,183.92000000,29714.56700000
1753794000,183.91000000,184.90000000,183.27000000,184.58000000,41688.14500000
1753795800,184.59000000,184.99000000,182.17000000,182.68000000,59233.95900000
1753797600,182.69000000,182.80000000,180.55000000,181.93000000,106672.69000000
1753799400,181.93000000,182.01000000,179.61000000,180.41000000,161051.33400000
1753801200,180.41000000,180.99000000,179.23000000,180.25000000,121474.78300000
1753803000,180.24000000,181.47000000,179.58000000,180.81000000,44725.68200000
