EMA_FAST_N,EMA_SLOW_N,BB_N,BB_K,VOL_Q_MIN,TREND_Q_MR,TREND_Q_MOM,W_TRAIN,MIN_BARS,FEE_BPS,SLIP_BPS,equity,bh,ratio,p_BH,p_EMA,p_BB
10,50,20,2.0,0.4,0.6,0.6,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
10,50,20,2.0,0.4,0.6,0.7,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
10,50,20,2.0,0.4,0.7,0.6,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
10,50,20,2.0,0.4,0.7,0.7,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
10,50,20,2.0,0.5,0.6,0.6,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
10,50,20,2.0,0.5,0.6,0.7,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
10,50,20,2.0,0.5,0.7,0.6,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
10,50,20,2.0,0.5,0.7,0.7,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
10,50,20,2.0,0.6,0.6,0.6,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
10,50,20,2.0,0.6,0.6,0.7,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
10,50,20,2.0,0.6,0.7,0.6,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
10,50,20,2.0,0.6,0.7,0.7,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
10,100,20,2.0,0.4,0.6,0.6,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
10,100,20,2.0,0.4,0.6,0.7,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
10,100,20,2.0,0.4,0.7,0.6,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
10,100,20,2.0,0.4,0.7,0.7,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
10,100,20,2.0,0.5,0.6,0.6,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
10,100,20,2.0,0.5,0.6,0.7,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
10,100,20,2.0,0.5,0.7,0.6,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
10,100,20,2.0,0.5,0.7,0.7,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
10,100,20,2.0,0.6,0.6,0.6,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
10,100,20,2.0,0.6,0.6,0.7,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
10,100,20,2.0,0.6,0.7,0.6,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
10,100,20,2.0,0.6,0.7,0.7,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
10,200,20,2.0,0.4,0.6,0.6,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
10,200,20,2.0,0.4,0.6,0.7,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
10,200,20,2.0,0.4,0.7,0.6,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
10,200,20,2.0,0.4,0.7,0.7,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
10,200,20,2.0,0.5,0.6,0.6,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
10,200,20,2.0,0.5,0.6,0.7,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
10,200,20,2.0,0.5,0.7,0.6,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
10,200,20,2.0,0.5,0.7,0.7,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
10,200,20,2.0,0.6,0.6,0.6,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
10,200,20,2.0,0.6,0.6,0.7,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
10,200,20,2.0,0.6,0.7,0.6,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
10,200,20,2.0,0.6,0.7,0.7,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
20,50,20,2.0,0.4,0.6,0.6,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
20,50,20,2.0,0.4,0.6,0.7,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
20,50,20,2.0,0.4,0.7,0.6,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
20,50,20,2.0,0.4,0.7,0.7,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
20,50,20,2.0,0.5,0.6,0.6,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
20,50,20,2.0,0.5,0.6,0.7,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
20,50,20,2.0,0.5,0.7,0.6,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
20,50,20,2.0,0.5,0.7,0.7,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
20,50,20,2.0,0.6,0.6,0.6,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
20,50,20,2.0,0.6,0.6,0.7,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
20,50,20,2.0,0.6,0.7,0.6,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
20,50,20,2.0,0.6,0.7,0.7,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
20,100,20,2.0,0.4,0.6,0.6,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
20,100,20,2.0,0.4,0.6,0.7,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
20,100,20,2.0,0.4,0.7,0.6,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
20,100,20,2.0,0.4,0.7,0.7,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
20,100,20,2.0,0.5,0.6,0.6,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
20,100,20,2.0,0.5,0.6,0.7,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
20,100,20,2.0,0.5,0.7,0.6,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
20,100,20,2.0,0.5,0.7,0.7,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
20,100,20,2.0,0.6,0.6,0.6,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
20,100,20,2.0,0.6,0.6,0.7,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
20,100,20,2.0,0.6,0.7,0.6,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
20,100,20,2.0,0.6,0.7,0.7,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
20,200,20,2.0,0.4,0.6,0.6,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
20,200,20,2.0,0.4,0.6,0.7,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
20,200,20,2.0,0.4,0.7,0.6,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
20,200,20,2.0,0.4,0.7,0.7,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
20,200,20,2.0,0.5,0.6,0.6,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
20,200,20,2.0,0.5,0.6,0.7,9,900,5,5,7.021641681214568,6.2413046685444975,1.1250278674269636,35,11,6
