{'rsi_buy': 60, 'rsi_sell': 70, 'v_buy': 0.85, 'v_sell': 1.2, 'equity': 1.084442, 'win_rate': 100.0, 'trades': 3}
{'rsi_buy': 60, 'rsi_sell': 70, 'v_buy': 0.85, 'v_sell': 1.25, 'equity': 1.084442, 'win_rate': 100.0, 'trades': 3}
{'rsi_buy': 60, 'rsi_sell': 70, 'v_buy': 0.85, 'v_sell': 1.3, 'equity': 1.084442, 'win_rate': 100.0, 'trades': 3}
{'rsi_buy': 60, 'rsi_sell': 70, 'v_buy': 0.9, 'v_sell': 1.2, 'equity': 1.084442, 'win_rate': 100.0, 'trades': 3}
{'rsi_buy': 60, 'rsi_sell': 70, 'v_buy': 0.9, 'v_sell': 1.25, 'equity': 1.084442, 'win_rate': 100.0, 'trades': 3}
{'rsi_buy': 60, 'rsi_sell': 70, 'v_buy': 0.9, 'v_sell': 1.3, 'equity': 1.084442, 'win_rate': 100.0, 'trades': 3}
{'rsi_buy': 60, 'rsi_sell': 70, 'v_buy': 0.8, 'v_sell': 1.2, 'equity': 1.079475, 'win_rate': 100.0, 'trades': 3}
{'rsi_buy': 60, 'rsi_sell': 70, 'v_buy': 0.8, 'v_sell': 1.25, 'equity': 1.079475, 'win_rate': 100.0, 'trades': 3}
{'rsi_buy': 60, 'rsi_sell': 70, 'v_buy': 0.8, 'v_sell': 1.3, 'equity': 1.079475, 'win_rate': 100.0, 'trades': 3}
{'rsi_buy': 55, 'rsi_sell': 70, 'v_buy': 0.8, 'v_sell': 1.2, 'equity': 1.054099, 'win_rate': 100.0, 'trades': 2}
{'rsi_buy': 55, 'rsi_sell': 70, 'v_buy': 0.8, 'v_sell': 1.25, 'equity': 1.054099, 'win_rate': 100.0, 'trades': 2}
{'rsi_buy': 55, 'rsi_sell': 70, 'v_buy': 0.8, 'v_sell': 1.3, 'equity': 1.054099, 'win_rate': 100.0, 'trades': 2}
{'rsi_buy': 55, 'rsi_sell': 70, 'v_buy': 0.85, 'v_sell': 1.2, 'equity': 1.054099, 'win_rate': 100.0, 'trades': 2}
{'rsi_buy': 55, 'rsi_sell': 70, 'v_buy': 0.85, 'v_sell': 1.25, 'equity': 1.054099, 'win_rate': 100.0, 'trades': 2}
{'rsi_buy': 55, 'rsi_sell': 70, 'v_buy': 0.85, 'v_sell': 1.3, 'equity': 1.054099, 'win_rate': 100.0, 'trades': 2}
{'rsi_buy': 55, 'rsi_sell': 70, 'v_buy': 0.9, 'v_sell': 1.2, 'equity': 1.054099, 'win_rate': 100.0, 'trades': 2}
{'rsi_buy': 55, 'rsi_sell': 70, 'v_buy': 0.9, 'v_sell': 1.25, 'equity': 1.054099, 'win_rate': 100.0, 'trades': 2}
{'rsi_buy': 55, 'rsi_sell': 70, 'v_buy': 0.9, 'v_sell': 1.3, 'equity': 1.054099, 'win_rate': 100.0, 'trades': 2}
{'rsi_buy': 50, 'rsi_sell': 70, 'v_buy': 0.8, 'v_sell': 1.2, 'equity': 1.0, 'win_rate': 0.0, 'trades': 0}
{'rsi_buy': 50, 'rsi_sell': 70, 'v_buy': 0.8, 'v_sell': 1.25, 'equity': 1.0, 'win_rate': 0.0, 'trades': 0}
{'rsi_buy': 50, 'rsi_sell': 70, 'v_buy': 0.8, 'v_sell': 1.3, 'equity': 1.0, 'win_rate': 0.0, 'trades': 0}
{'rsi_buy': 50, 'rsi_sell': 70, 'v_buy': 0.85, 'v_sell': 1.2, 'equity': 1.0, 'win_rate': 0.0, 'trades': 0}
{'rsi_buy': 50, 'rsi_sell': 70, 'v_buy': 0.85, 'v_sell': 1.25, 'equity': 1.0, 'win_rate': 0.0, 'trades': 0}
{'rsi_buy': 50, 'rsi_sell': 70, 'v_buy': 0.85, 'v_sell': 1.3, 'equity': 1.0, 'win_rate': 0.0, 'trades': 0}
{'rsi_buy': 50, 'rsi_sell': 70, 'v_buy': 0.9, 'v_sell': 1.2, 'equity': 1.0, 'win_rate': 0.0, 'trades': 0}
{'rsi_buy': 50, 'rsi_sell': 70, 'v_buy': 0.9, 'v_sell': 1.25, 'equity': 1.0, 'win_rate': 0.0, 'trades': 0}
{'rsi_buy': 50, 'rsi_sell': 70, 'v_buy': 0.9, 'v_sell': 1.3, 'equity': 1.0, 'win_rate': 0.0, 'trades': 0}
{'rsi_buy': 60, 'rsi_sell': 65, 'v_buy': 0.85, 'v_sell': 1.2, 'equity': 0.978978, 'win_rate': 75.0, 'trades': 8}
{'rsi_buy': 60, 'rsi_sell': 65, 'v_buy': 0.85, 'v_sell': 1.25, 'equity': 0.978978, 'win_rate': 75.0, 'trades': 8}
{'rsi_buy': 60, 'rsi_sell': 65, 'v_buy': 0.85, 'v_sell': 1.3, 'equity': 0.978978, 'win_rate': 75.0, 'trades': 8}
{'rsi_buy': 60, 'rsi_sell': 65, 'v_buy': 0.9, 'v_sell': 1.2, 'equity': 0.978978, 'win_rate': 75.0, 'trades': 8}
{'rsi_buy': 60, 'rsi_sell': 65, 'v_buy': 0.9, 'v_sell': 1.25, 'equity': 0.978978, 'win_rate': 75.0, 'trades': 8}
{'rsi_buy': 60, 'rsi_sell': 65, 'v_buy': 0.9, 'v_sell': 1.3, 'equity': 0.978978, 'win_rate': 75.0, 'trades': 8}
{'rsi_buy': 60, 'rsi_sell': 65, 'v_buy': 0.8, 'v_sell': 1.2, 'equity': 0.974493, 'win_rate': 75.0, 'trades': 8}
{'rsi_buy': 60, 'rsi_sell': 65, 'v_buy': 0.8, 'v_sell': 1.25, 'equity': 0.974493, 'win_rate': 75.0, 'trades': 8}
{'rsi_buy': 60, 'rsi_sell': 65, 'v_buy': 0.8, 'v_sell': 1.3, 'equity': 0.974493, 'win_rate': 75.0, 'trades': 8}
{'rsi_buy': 60, 'rsi_sell': 60, 'v_buy': 0.85, 'v_sell': 1.3, 'equity': 0.963247, 'win_rate': 80.0, 'trades': 10}
{'rsi_buy': 60, 'rsi_sell': 60, 'v_buy': 0.9, 'v_sell': 1.3, 'equity': 0.963247, 'win_rate': 80.0, 'trades': 10}
{'rsi_buy': 60, 'rsi_sell': 60, 'v_buy': 0.8, 'v_sell': 1.3, 'equity': 0.958834, 'win_rate': 80.0, 'trades': 10}
{'rsi_buy': 55, 'rsi_sell': 65, 'v_buy': 0.8, 'v_sell': 1.2, 'equity': 0.957096, 'win_rate': 60.0, 'trades': 5}
{'rsi_buy': 55, 'rsi_sell': 65, 'v_buy': 0.8, 'v_sell': 1.25, 'equity': 0.957096, 'win_rate': 60.0, 'trades': 5}
{'rsi_buy': 55, 'rsi_sell': 65, 'v_buy': 0.8, 'v_sell': 1.3, 'equity': 0.957096, 'win_rate': 60.0, 'trades': 5}
{'rsi_buy': 55, 'rsi_sell': 65, 'v_buy': 0.85, 'v_sell': 1.2, 'equity': 0.957096, 'win_rate': 60.0, 'trades': 5}
{'rsi_buy': 55, 'rsi_sell': 65, 'v_buy': 0.85, 'v_sell': 1.25, 'equity': 0.957096, 'win_rate': 60.0, 'trades': 5}
{'rsi_buy': 55, 'rsi_sell': 65, 'v_buy': 0.85, 'v_sell': 1.3, 'equity': 0.957096, 'win_rate': 60.0, 'trades': 5}
{'rsi_buy': 55, 'rsi_sell': 65, 'v_buy': 0.9, 'v_sell': 1.2, 'equity': 0.957096, 'win_rate': 60.0, 'trades': 5}
{'rsi_buy': 55, 'rsi_sell': 65, 'v_buy': 0.9, 'v_sell': 1.25, 'equity': 0.957096, 'win_rate': 60.0, 'trades': 5}
{'rsi_buy': 55, 'rsi_sell': 65, 'v_buy': 0.9, 'v_sell': 1.3, 'equity': 0.957096, 'win_rate': 60.0, 'trades': 5}
{'rsi_buy': 55, 'rsi_sell': 60, 'v_buy': 0.8, 'v_sell': 1.3, 'equity': 0.951231, 'win_rate': 71.429, 'trades': 7}
{'rsi_buy': 55, 'rsi_sell': 60, 'v_buy': 0.85, 'v_sell': 1.3, 'equity': 0.951231, 'win_rate': 71.429, 'trades': 7}
{'rsi_buy': 55, 'rsi_sell': 60, 'v_buy': 0.9, 'v_sell': 1.3, 'equity': 0.951231, 'win_rate': 71.429, 'trades': 7}
{'rsi_buy': 60, 'rsi_sell': 60, 'v_buy': 0.85, 'v_sell': 1.25, 'equity': 0.942952, 'win_rate': 72.727, 'trades': 11}
{'rsi_buy': 60, 'rsi_sell': 60, 'v_buy': 0.9, 'v_sell': 1.25, 'equity': 0.942952, 'win_rate': 72.727, 'trades': 11}
{'rsi_buy': 60, 'rsi_sell': 60, 'v_buy': 0.85, 'v_sell': 1.2, 'equity': 0.940212, 'win_rate': 66.667, 'trades': 12}
{'rsi_buy': 60, 'rsi_sell': 60, 'v_buy': 0.9, 'v_sell': 1.2, 'equity': 0.940212, 'win_rate': 66.667, 'trades': 12}
{'rsi_buy': 60, 'rsi_sell': 60, 'v_buy': 0.8, 'v_sell': 1.25, 'equity': 0.939816, 'win_rate': 72.727, 'trades': 11}
{'rsi_buy': 60, 'rsi_sell': 60, 'v_buy': 0.8, 'v_sell': 1.2, 'equity': 0.937085, 'win_rate': 66.667, 'trades': 12}
{'rsi_buy': 55, 'rsi_sell': 60, 'v_buy': 0.8, 'v_sell': 1.2, 'equity': 0.932753, 'win_rate': 55.556, 'trades': 9}
{'rsi_buy': 55, 'rsi_sell': 60, 'v_buy': 0.8, 'v_sell': 1.25, 'equity': 0.932364, 'win_rate': 62.5, 'trades': 8}
{'rsi_buy': 55, 'rsi_sell': 60, 'v_buy': 0.85, 'v_sell': 1.2, 'equity': 0.931578, 'win_rate': 55.556, 'trades': 9}
{'rsi_buy': 55, 'rsi_sell': 60, 'v_buy': 0.9, 'v_sell': 1.2, 'equity': 0.931578, 'win_rate': 55.556, 'trades': 9}
{'rsi_buy': 55, 'rsi_sell': 60, 'v_buy': 0.85, 'v_sell': 1.25, 'equity': 0.93119, 'win_rate': 62.5, 'trades': 8}
{'rsi_buy': 55, 'rsi_sell': 60, 'v_buy': 0.9, 'v_sell': 1.25, 'equity': 0.93119, 'win_rate': 62.5, 'trades': 8}
{'rsi_buy': 50, 'rsi_sell': 65, 'v_buy': 0.8, 'v_sell': 1.2, 'equity': 0.920279, 'win_rate': 0.0, 'trades': 2}
{'rsi_buy': 50, 'rsi_sell': 65, 'v_buy': 0.8, 'v_sell': 1.25, 'equity': 0.920279, 'win_rate': 0.0, 'trades': 2}
{'rsi_buy': 50, 'rsi_sell': 65, 'v_buy': 0.8, 'v_sell': 1.3, 'equity': 0.920279, 'win_rate': 0.0, 'trades': 2}
{'rsi_buy': 50, 'rsi_sell': 65, 'v_buy': 0.85, 'v_sell': 1.2, 'equity': 0.920279, 'win_rate': 0.0, 'trades': 2}
{'rsi_buy': 50, 'rsi_sell': 65, 'v_buy': 0.85, 'v_sell': 1.25, 'equity': 0.920279, 'win_rate': 0.0, 'trades': 2}
{'rsi_buy': 50, 'rsi_sell': 65, 'v_buy': 0.85, 'v_sell': 1.3, 'equity': 0.920279, 'win_rate': 0.0, 'trades': 2}
{'rsi_buy': 50, 'rsi_sell': 65, 'v_buy': 0.9, 'v_sell': 1.2, 'equity': 0.920279, 'win_rate': 0.0, 'trades': 2}
{'rsi_buy': 50, 'rsi_sell': 65, 'v_buy': 0.9, 'v_sell': 1.25, 'equity': 0.920279, 'win_rate': 0.0, 'trades': 2}
{'rsi_buy': 50, 'rsi_sell': 65, 'v_buy': 0.9, 'v_sell': 1.3, 'equity': 0.920279, 'win_rate': 0.0, 'trades': 2}
{'rsi_buy': 50, 'rsi_sell': 60, 'v_buy': 0.8, 'v_sell': 1.3, 'equity': 0.910049, 'win_rate': 33.333, 'trades': 3}
{'rsi_buy': 50, 'rsi_sell': 60, 'v_buy': 0.85, 'v_sell': 1.3, 'equity': 0.910049, 'win_rate': 33.333, 'trades': 3}
{'rsi_buy': 50, 'rsi_sell': 60, 'v_buy': 0.9, 'v_sell': 1.3, 'equity': 0.910049, 'win_rate': 33.333, 'trades': 3}
{'rsi_buy': 50, 'rsi_sell': 60, 'v_buy': 0.8, 'v_sell': 1.2, 'equity': 0.894381, 'win_rate': 20.0, 'trades': 5}
{'rsi_buy': 50, 'rsi_sell': 60, 'v_buy': 0.85, 'v_sell': 1.2, 'equity': 0.894381, 'win_rate': 20.0, 'trades': 5}
{'rsi_buy': 50, 'rsi_sell': 60, 'v_buy': 0.9, 'v_sell': 1.2, 'equity': 0.894381, 'win_rate': 20.0, 'trades': 5}
{'rsi_buy': 50, 'rsi_sell': 60, 'v_buy': 0.8, 'v_sell': 1.25, 'equity': 0.894008, 'win_rate': 25.0, 'trades': 4}
{'rsi_buy': 50, 'rsi_sell': 60, 'v_buy': 0.85, 'v_sell': 1.25, 'equity': 0.894008, 'win_rate': 25.0, 'trades': 4}
{'rsi_buy': 50, 'rsi_sell': 60, 'v_buy': 0.9, 'v_sell': 1.25, 'equity': 0.894008, 'win_rate': 25.0, 'trades': 4}
